,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),68.6,64.3,54.8,33.0,29.3,Andhra Pradesh
1, Men age 25-29 years married before age 21 years (%),,,34.8,15.8,14.5,Andhra Pradesh
2, Total fertility rate (children per woman),2.6,2.3,1.8,1.8,1.7,Andhra Pradesh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,18.1,11.8,12.6,Andhra Pradesh
4, Infant mortality rate (IMR),,,,35.0,30.3,Andhra Pradesh
5, Under five mortality rate (U5MR),,,,41.0,35.2,Andhra Pradesh
6, Any modern method (%),47.0,58.9,67.0,69.4,70.8,Andhra Pradesh
7, Female sterilization (%),38.5,52.7,62.9,68.3,69.6,Andhra Pradesh
8, Male sterilization (%),6.7,4.3,2.9,0.6,0.4,Andhra Pradesh
9, Total unmet need (%),10.4,7.7,4.7,4.7,4.7,Andhra Pradesh
10, Unmet need for spacing (%),6.3,5.2,3.0,3.1,2.6,Andhra Pradesh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),75.3,80.2,86.0,76.3,67.5,Andhra Pradesh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,2322.0,3105.0,Andhra Pradesh
13, Institutional births (%),34.3,49.8,268.6,91.5,96.5,Andhra Pradesh
14, Births delivered by caesarean section (%),,,,40.1,50.4,Andhra Pradesh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",45.4,58.7,46.0,65.3,73.0,Andhra Pradesh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,91.6,94.2,Andhra Pradesh
17, Children under age 6 months exclusively breastfed (%),,,62.7,70.2,68.0,Andhra Pradesh
18, Children under 5 years who are stunted (heightforage),,47.2,38.4,31.4,31.2,Andhra Pradesh
19, Children under 5 years who are wasted (weightforheight),,11.0,14.9,17.2,16.1,Andhra Pradesh
20, Children under 3 years who are underweight (%),42.9,34.2,29.8,31.9,29.6,Andhra Pradesh
21, Women who are overweight or obese (%),,12.0,17.7,33.2,36.3,Andhra Pradesh
22, Men who are overweight or obese (%),,,17.6,33.5,31.1,Andhra Pradesh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,41.8,58.2,52.9,53.7,Andhra Pradesh
24, Currently married women who usually participate in three household decisions (%),,,40.4,79.9,84.1,Andhra Pradesh
25, Women who worked in the last 12 months and were paid in cash (%),,,,42.1,42.1,Andhra Pradesh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,44.7,47.8,Andhra Pradesh
27, Women having a bank or savings account that they themselves use (%),,,,66.3,81.8,Andhra Pradesh
28, Women having a mobile phone that they themselves use (%),,,,36.2,48.9,Andhra Pradesh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,67.5,85.1,Andhra Pradesh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,35.2,43.2,30.0,Andhra Pradesh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,3.7,Andhra Pradesh
32, Women who use any kind of tobacco (%),,,,2.3,3.8,Andhra Pradesh
33, Men who use any kind of tobacco (%),,,,26.8,22.6,Andhra Pradesh
34, Women who consume alcohol (%),,,,0.4,0.5,Andhra Pradesh
35, Men who consume alcohol (%),,,,34.9,23.3,Andhra Pradesh
