,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),43.9,27.6,42.0,23.5,18.9,Arunachal Pradesh
1, Men age 25-29 years married before age 21 years (%),,,30.6,22.6,20.8,Arunachal Pradesh
2, Total fertility rate (children per woman),4.3,2.5,3.0,2.1,1.8,Arunachal Pradesh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,15.4,10.5,6.0,Arunachal Pradesh
4, Infant mortality rate (IMR),,,,23.0,12.9,Arunachal Pradesh
5, Under five mortality rate (U5MR),,,,33.0,18.8,Arunachal Pradesh
6, Any modern method (%),19.3,32.8,37.3,26.6,47.2,Arunachal Pradesh
7, Female sterilization (%),10.3,20.6,22.5,11.2,18.2,Arunachal Pradesh
8, Male sterilization (%),0.4,0.1,0.1,0.0,0.0,Arunachal Pradesh
9, Total unmet need (%),20.4,26.5,18.8,21.5,12.5,Arunachal Pradesh
10, Unmet need for spacing (%),12.9,17.2,8.3,12.7,7.0,Arunachal Pradesh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),31.9,40.9,36.4,26.7,36.5,Arunachal Pradesh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,6473.0,9731.0,Arunachal Pradesh
13, Institutional births (%),20.1,31.2,231.7,52.2,79.2,Arunachal Pradesh
14, Births delivered by caesarean section (%),,,,8.9,74.8,Arunachal Pradesh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",22.5,20.5,28.4,38.2,64.9,Arunachal Pradesh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,93.9,97.6,Arunachal Pradesh
17, Children under age 6 months exclusively breastfed (%),,,60.0,57.0,63.4,Arunachal Pradesh
18, Children under 5 years who are stunted (heightforage),54.0,30.3,37.0,29.4,28.0,Arunachal Pradesh
19, Children under 5 years who are wasted (weightforheight),15.5,10.3,17.0,17.3,13.1,Arunachal Pradesh
20, Children under 3 years who are underweight (%),32.1,21.5,29.7,19.4,15.4,Arunachal Pradesh
21, Women who are overweight or obese (%),,5.1,10.5,18.8,23.9,Arunachal Pradesh
22, Men who are overweight or obese (%),,19.5,,20.6,27.6,Arunachal Pradesh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.2,,,37.8,27.9,Arunachal Pradesh
24, Currently married women who usually participate in three household decisions (%),,,53.5,89.1,87.0,Arunachal Pradesh
25, Women who worked in the last 12 months and were paid in cash (%),,,,17.2,23.5,Arunachal Pradesh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,59.7,70.2,Arunachal Pradesh
27, Women having a bank or savings account that they themselves use (%),,,,56.6,78.2,Arunachal Pradesh
28, Women having a mobile phone that they themselves use (%),,,,59.8,76.4,Arunachal Pradesh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,73.4,91.8,Arunachal Pradesh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,38.8,30.7,24.8,Arunachal Pradesh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.7,Arunachal Pradesh
32, Women who use any kind of tobacco (%),,,,17.7,18.8,Arunachal Pradesh
33, Men who use any kind of tobacco (%),,,,60.0,50.3,Arunachal Pradesh
34, Women who consume alcohol (%),,,,26.3,24.2,Arunachal Pradesh
35, Men who consume alcohol (%),,,,59.0,52.7,Arunachal Pradesh
