,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),44.4,40.7,38.6,30.8,31.8,Assam
1, Men age 25-29 years married before age 21 years (%),,,15.7,15.0,21.8,Assam
2, Total fertility rate (children per woman),3.5,2.3,2.4,2.2,1.9,Assam
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,16.4,13.6,11.7,Assam
4, Infant mortality rate (IMR),,,,48.0,31.9,Assam
5, Under five mortality rate (U5MR),,,,56.0,39.1,Assam
6, Any modern method (%),19.9,26.6,27.0,37.0,45.3,Assam
7, Female sterilization (%),12.2,15.7,13.0,9.5,9.0,Assam
8, Male sterilization (%),2.4,1.0,0.2,0.1,0.1,Assam
9, Total unmet need (%),21.7,17.0,10.5,14.2,11.0,Assam
10, Unmet need for spacing (%),11.0,7.0,3.5,5.8,4.1,Assam
11, Mothers who had at least 3 antenatal care visits for their last birth (%),24.9,30.9,36.3,46.4,50.7,Assam
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3821.0,5415.0,Assam
13, Institutional births (%),11.7,17.6,22.9,70.6,84.1,Assam
14, Births delivered by caesarean section (%),,,,13.4,74.4,Assam
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",19.4,17.0,31.4,47.1,66.4,Assam
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,93.3,95.6,Assam
17, Children under age 6 months exclusively breastfed (%),,,63.1,63.5,63.6,Assam
18, Children under 5 years who are stunted (heightforage),56.4,54.0,41.1,36.4,35.3,Assam
19, Children under 5 years who are wasted (weightforheight),14.0,19.0,16.7,17.0,21.7,Assam
20, Children under 3 years who are underweight (%),44.1,35.3,35.8,29.8,32.8,Assam
21, Women who are overweight or obese (%),,4.2,9.0,13.2,15.2,Assam
22, Men who are overweight or obese (%),,18.3,,12.9,16.2,Assam
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,62.3,72.0,44.8,54.2,Assam
24, Currently married women who usually participate in three household decisions (%),,,60.9,87.4,92.1,Assam
25, Women who worked in the last 12 months and were paid in cash (%),,,,17.0,19.0,Assam
26, Women owning a house and/or land (alone or jointly with others) (%),,,,52.3,42.7,Assam
27, Women having a bank or savings account that they themselves use (%),,,,45.4,78.5,Assam
28, Women having a mobile phone that they themselves use (%),,,,46.0,57.2,Assam
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,44.8,66.3,Assam
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,39.5,24.5,32.0,Assam
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,8.0,Assam
32, Women who use any kind of tobacco (%),,,,19.7,22.1,Assam
33, Men who use any kind of tobacco (%),,,,63.9,51.8,Assam
34, Women who consume alcohol (%),,,,6.9,7.3,Assam
35, Men who consume alcohol (%),,,,35.6,25.1,Assam
