,INDICATORS,NHS5,States
0, Women age 20-24 years married before age 18 years (%),9.7,Chandigarh
1, Men age 25-29 years married before age 21 years (%),,Chandigarh
2, Total fertility rate (children per woman),1.4,Chandigarh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.8,Chandigarh
4, Infant mortality rate (IMR),,Chandigarh
5, Under five mortality rate (U5MR),,Chandigarh
6, Any modern method (%),55.6,Chandigarh
7, Female sterilization (%),19.0,Chandigarh
8, Male sterilization (%),0.3,Chandigarh
9, Total unmet need (%),6.9,Chandigarh
10, Unmet need for spacing (%),2.5,Chandigarh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),78.7,Chandigarh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),5546.0,Chandigarh
13, Institutional births (%),96.9,Chandigarh
14, Births delivered by caesarean section (%),83.2,Chandigarh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",80.9,Chandigarh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,92.9,Chandigarh
17, Children under age 6 months exclusively breastfed (%),,Chandigarh
18, Children under 5 years who are stunted (heightforage),25.3,Chandigarh
19, Children under 5 years who are wasted (weightforheight),8.4,Chandigarh
20, Children under 3 years who are underweight (%),20.6,Chandigarh
21, Women who are overweight or obese (%),44.0,Chandigarh
22, Men who are overweight or obese (%),34.4,Chandigarh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,Chandigarh
24, Currently married women who usually participate in three household decisions (%),94.6,Chandigarh
25, Women who worked in the last 12 months and were paid in cash (%),22.0,Chandigarh
26, Women owning a house and/or land (alone or jointly with others) (%),30.4,Chandigarh
27, Women having a bank or savings account that they themselves use (%),87.1,Chandigarh
28, Women having a mobile phone that they themselves use (%),70.0,Chandigarh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,93.4,Chandigarh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,9.7,Chandigarh
31, Young women age 18-29 years who experienced sexual violence by age 18,,Chandigarh
32, Women who use any kind of tobacco (%),0.6,Chandigarh
33, Men who use any kind of tobacco (%),12.1,Chandigarh
34, Women who consume alcohol (%),0.3,Chandigarh
35, Men who consume alcohol (%),18.6,Chandigarh
