,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,61.3,55.0,21.3,12.1,Chhattisgarh
1, Men age 25-29 years married before age 21 years (%),,,44.8,26.9,16.2,Chhattisgarh
2, Total fertility rate (children per woman),,2.8,2.6,2.2,1.8,Chhattisgarh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.6,4.8,3.1,Chhattisgarh
4, Infant mortality rate (IMR),,,,54.0,44.3,Chhattisgarh
5, Under five mortality rate (U5MR),,,,64.0,50.4,Chhattisgarh
6, Any modern method (%),,42.3,49.1,54.5,61.7,Chhattisgarh
7, Female sterilization (%),,35.1,40.7,46.2,47.5,Chhattisgarh
8, Male sterilization (%),,3.3,3.3,0.7,0.8,Chhattisgarh
9, Total unmet need (%),,13.5,10.1,11.1,8.3,Chhattisgarh
10, Unmet need for spacing (%),,8.0,5.3,5.3,3.4,Chhattisgarh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,33.2,54.7,59.1,60.1,Chhattisgarh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1480.0,1833.0,Chhattisgarh
13, Institutional births (%),,13.8,15.7,70.2,85.7,Chhattisgarh
14, Births delivered by caesarean section (%),,,,9.9,70.0,Chhattisgarh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,21.8,48.7,76.4,79.7,Chhattisgarh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,96.4,96.6,Chhattisgarh
17, Children under age 6 months exclusively breastfed (%),,,82.0,77.2,80.3,Chhattisgarh
18, Children under 5 years who are stunted (heightforage),,60.8,52.6,37.6,34.6,Chhattisgarh
19, Children under 5 years who are wasted (weightforheight),,24.8,24.1,23.1,18.9,Chhattisgarh
20, Children under 3 years who are underweight (%),,53.2,47.8,37.7,31.3,Chhattisgarh
21, Women who are overweight or obese (%),,4.1,6.7,11.9,14.1,Chhattisgarh
22, Men who are overweight or obese (%),,18.6,,10.2,14.9,Chhattisgarh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,68.3,63.1,41.5,51.8,Chhattisgarh
24, Currently married women who usually participate in three household decisions (%),,,26.8,90.5,92.7,Chhattisgarh
25, Women who worked in the last 12 months and were paid in cash (%),,,,36.8,39.1,Chhattisgarh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,26.4,45.6,Chhattisgarh
27, Women having a bank or savings account that they themselves use (%),,,,51.3,80.3,Chhattisgarh
28, Women having a mobile phone that they themselves use (%),,,,31.0,40.7,Chhattisgarh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,47.1,68.8,Chhattisgarh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,29.9,36.7,20.2,Chhattisgarh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.8,Chhattisgarh
32, Women who use any kind of tobacco (%),,,,21.6,17.3,Chhattisgarh
33, Men who use any kind of tobacco (%),,,,55.2,43.1,Chhattisgarh
34, Women who consume alcohol (%),,,,5.0,5.0,Chhattisgarh
35, Men who consume alcohol (%),,,,52.7,34.8,Chhattisgarh
