,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),7.2,10.1,12.1,9.8,5.8,Goa
1, Men age 25-29 years married before age 21 years (%),,,7.2,8.4,8.9,Goa
2, Total fertility rate (children per woman),1.9,1.8,1.8,1.7,1.3,Goa
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,3.6,2.9,2.8,Goa
4, Infant mortality rate (IMR),,,,,5.6,Goa
5, Under five mortality rate (U5MR),,,,,10.6,Goa
6, Any modern method (%),37.9,35.9,37.2,24.8,60.1,Goa
7, Female sterilization (%),29.5,27.8,25.8,16.3,29.9,Goa
8, Male sterilization (%),1.0,0.4,0.1,0.0,0.0,Goa
9, Total unmet need (%),15.7,17.1,13.1,17.5,8.4,Goa
10, Unmet need for spacing (%),7.8,7.3,7.4,8.3,4.0,Goa
11, Mothers who had at least 3 antenatal care visits for their last birth (%),89.8,96.3,95.0,89.0,93.0,Goa
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,5012.0,3804.0,Goa
13, Institutional births (%),87.8,90.9,92.6,96.9,99.7,Goa
14, Births delivered by caesarean section (%),,,,31.4,56.2,Goa
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",74.9,82.6,78.6,88.4,81.9,Goa
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,77.2,92.7,Goa
17, Children under age 6 months exclusively breastfed (%),,,17.7,60.9,61.4,Goa
18, Children under 5 years who are stunted (heightforage),34.9,21.7,25.9,20.1,25.8,Goa
19, Children under 5 years who are wasted (weightforheight),17.5,16.5,12.8,21.9,19.1,Goa
20, Children under 3 years who are underweight (%),29.3,21.3,21.3,23.8,24.0,Goa
21, Women who are overweight or obese (%),,21.2,27.0,33.5,36.1,Goa
22, Men who are overweight or obese (%),,28.7,,32.6,32.6,Goa
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,35.0,36.9,26.7,41.0,Goa
24, Currently married women who usually participate in three household decisions (%),,,47.0,93.8,93.1,Goa
25, Women who worked in the last 12 months and were paid in cash (%),,,,23.6,31.9,Goa
26, Women owning a house and/or land (alone or jointly with others) (%),,,,33.9,23.2,Goa
27, Women having a bank or savings account that they themselves use (%),,,,82.8,88.3,Goa
28, Women having a mobile phone that they themselves use (%),,,,80.9,91.2,Goa
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,89.3,96.8,Goa
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,16.8,12.9,8.3,Goa
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,4.6,Goa
32, Women who use any kind of tobacco (%),,,,1.9,2.6,Goa
33, Men who use any kind of tobacco (%),,,,20.8,18.2,Goa
34, Women who consume alcohol (%),,,,4.2,5.5,Goa
35, Men who consume alcohol (%),,,,44.7,36.9,Goa
