,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),33.4,40.7,38.7,24.9,21.8,Gujarat
1, Men age 25-29 years married before age 21 years (%),,,31.4,28.4,27.7,Gujarat
2, Total fertility rate (children per woman),3.0,2.7,2.4,2.0,1.9,Gujarat
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.7,6.5,5.2,Gujarat
4, Infant mortality rate (IMR),,,,34.0,31.2,Gujarat
5, Under five mortality rate (U5MR),,,,43.0,37.6,Gujarat
6, Any modern method (%),46.9,53.3,56.5,43.1,53.6,Gujarat
7, Female sterilization (%),37.5,43.0,42.9,33.6,35.9,Gujarat
8, Male sterilization (%),3.5,2.3,0.6,0.1,0.2,Gujarat
9, Total unmet need (%),13.1,8.5,8.0,17.0,10.3,Gujarat
10, Unmet need for spacing (%),7.6,4.8,4.3,6.7,4.5,Gujarat
11, Mothers who had at least 3 antenatal care visits for their last birth (%),61.3,61.2,64.9,70.5,76.9,Gujarat
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,2136.0,1697.0,Gujarat
13, Institutional births (%),36.8,46.3,254.6,88.5,94.3,Gujarat
14, Births delivered by caesarean section (%),,,,18.4,43.3,Gujarat
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",50.0,53.0,45.2,50.4,76.3,Gujarat
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,87.1,92.1,Gujarat
17, Children under age 6 months exclusively breastfed (%),,,47.8,55.8,65.0,Gujarat
18, Children under 5 years who are stunted (heightforage),50.1,52.0,49.2,38.5,39.0,Gujarat
19, Children under 5 years who are wasted (weightforheight),23.9,20.3,19.7,26.4,25.1,Gujarat
20, Children under 3 years who are underweight (%),42.7,41.6,41.1,39.3,39.7,Gujarat
21, Women who are overweight or obese (%),,15.8,20.3,23.7,22.6,Gujarat
22, Men who are overweight or obese (%),,28.4,,19.7,19.9,Gujarat
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),47.4,37.5,,51.3,62.6,Gujarat
24, Currently married women who usually participate in three household decisions (%),,,36.6,85.4,92.2,Gujarat
25, Women who worked in the last 12 months and were paid in cash (%),,,,30.2,30.8,Gujarat
26, Women owning a house and/or land (alone or jointly with others) (%),,,,27.2,42.6,Gujarat
27, Women having a bank or savings account that they themselves use (%),,,,48.6,70.0,Gujarat
28, Women having a mobile phone that they themselves use (%),,,,47.9,48.8,Gujarat
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,60.3,65.8,Gujarat
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,27.6,20.1,14.0,Gujarat
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,3.6,Gujarat
32, Women who use any kind of tobacco (%),,,,7.4,8.7,Gujarat
33, Men who use any kind of tobacco (%),,,,51.4,41.1,Gujarat
34, Women who consume alcohol (%),,,,0.3,0.6,Gujarat
35, Men who consume alcohol (%),,,,11.1,5.8,Gujarat
