,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),57.3,41.5,41.2,19.4,12.5,Haryana
1, Men age 25-29 years married before age 21 years (%),,,33.7,23.9,16.0,Haryana
2, Total fertility rate (children per woman),4.0,2.9,2.7,2.1,1.9,Haryana
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.1,5.8,3.9,Haryana
4, Infant mortality rate (IMR),,,,33.0,33.3,Haryana
5, Under five mortality rate (U5MR),,,,41.0,38.7,Haryana
6, Any modern method (%),44.4,53.2,58.3,59.4,60.5,Haryana
7, Female sterilization (%),29.8,38.7,38.2,38.1,32.3,Haryana
8, Male sterilization (%),5.0,2.1,0.7,0.6,0.9,Haryana
9, Total unmet need (%),16.4,7.6,8.3,9.3,7.6,Haryana
10, Unmet need for spacing (%),8.8,2.9,3.1,3.8,3.3,Haryana
11, Mothers who had at least 3 antenatal care visits for their last birth (%),45.8,38.2,58.8,45.1,60.4,Haryana
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1569.0,1666.0,Haryana
13, Institutional births (%),17.4,22.4,39.4,80.4,94.9,Haryana
14, Births delivered by caesarean section (%),,,,11.7,57.5,Haryana
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",53.5,62.7,65.3,62.2,76.9,Haryana
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,94.8,96.9,Haryana
17, Children under age 6 months exclusively breastfed (%),,,16.9,50.3,69.5,Haryana
18, Children under 5 years who are stunted (heightforage),50.5,55.6,43.3,34.0,27.5,Haryana
19, Children under 5 years who are wasted (weightforheight),7.8,7.8,22.4,21.2,11.5,Haryana
20, Children under 3 years who are underweight (%),31.0,29.9,38.2,29.4,21.5,Haryana
21, Women who are overweight or obese (%),,16.6,21.0,21.0,33.1,Haryana
22, Men who are overweight or obese (%),,21.5,,20.0,28.3,Haryana
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,55.5,69.7,55.0,56.5,Haryana
24, Currently married women who usually participate in three household decisions (%),,,41.7,76.7,87.5,Haryana
25, Women who worked in the last 12 months and were paid in cash (%),,,,17.6,18.8,Haryana
26, Women owning a house and/or land (alone or jointly with others) (%),,,,35.8,39.3,Haryana
27, Women having a bank or savings account that they themselves use (%),,,,45.6,73.6,Haryana
28, Women having a mobile phone that they themselves use (%),,,,50.5,50.4,Haryana
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,78.3,93.2,Haryana
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,27.3,32.0,18.2,Haryana
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.4,Haryana
32, Women who use any kind of tobacco (%),,,,1.6,2.5,Haryana
33, Men who use any kind of tobacco (%),,,,35.8,29.1,Haryana
34, Women who consume alcohol (%),,,,0.1,0.3,Haryana
35, Men who consume alcohol (%),,,,24.5,16.1,Haryana
