,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),24.2,10.7,12.3,8.6,5.4,Himachal Pradesh
1, Men age 25-29 years married before age 21 years (%),,,15.5,7.3,4.6,Himachal Pradesh
2, Total fertility rate (children per woman),3.0,2.1,1.9,1.9,1.7,Himachal Pradesh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,3.1,2.6,3.4,Himachal Pradesh
4, Infant mortality rate (IMR),,,,34.0,25.6,Himachal Pradesh
5, Under five mortality rate (U5MR),,,,38.0,28.9,Himachal Pradesh
6, Any modern method (%),54.4,60.8,71.0,52.1,63.4,Himachal Pradesh
7, Female sterilization (%),32.6,45.1,49.0,34.5,37.7,Himachal Pradesh
8, Male sterilization (%),13.2,7.3,6.3,2.4,3.3,Himachal Pradesh
9, Total unmet need (%),14.9,8.6,7.2,15.7,7.9,Himachal Pradesh
10, Unmet need for spacing (%),9.2,3.6,2.4,4.8,2.8,Himachal Pradesh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),41.0,61.6,62.6,69.1,70.3,Himachal Pradesh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3329.0,3760.0,Himachal Pradesh
13, Institutional births (%),17.1,28.9,245.3,76.4,88.2,Himachal Pradesh
14, Births delivered by caesarean section (%),,,,16.7,71.7,Himachal Pradesh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",63.2,83.4,74.2,69.5,89.3,Himachal Pradesh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,97.9,97.5,Himachal Pradesh
17, Children under age 6 months exclusively breastfed (%),,,27.1,67.2,69.9,Himachal Pradesh
18, Children under 5 years who are stunted (heightforage),,48.8,34.3,26.3,30.8,Himachal Pradesh
19, Children under 5 years who are wasted (weightforheight),,17.9,19.9,13.7,17.4,Himachal Pradesh
20, Children under 3 years who are underweight (%),38.4,36.5,31.1,21.2,25.5,Himachal Pradesh
21, Women who are overweight or obese (%),,13.1,17.3,28.6,30.4,Himachal Pradesh
22, Men who are overweight or obese (%),,23.7,,22.0,30.6,Himachal Pradesh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),31.8,35.1,,50.4,42.2,Himachal Pradesh
24, Currently married women who usually participate in three household decisions (%),,,39.2,90.8,93.9,Himachal Pradesh
25, Women who worked in the last 12 months and were paid in cash (%),,,,17.0,20.2,Himachal Pradesh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,11.3,23.1,Himachal Pradesh
27, Women having a bank or savings account that they themselves use (%),,,,68.8,83.1,Himachal Pradesh
28, Women having a mobile phone that they themselves use (%),,,,73.9,79.5,Himachal Pradesh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,84.3,91.5,Himachal Pradesh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,,5.9,8.3,Himachal Pradesh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,2.5,Himachal Pradesh
32, Women who use any kind of tobacco (%),,,,0.5,1.7,Himachal Pradesh
33, Men who use any kind of tobacco (%),,,,40.5,32.3,Himachal Pradesh
34, Women who consume alcohol (%),,,,0.3,0.6,Himachal Pradesh
35, Men who consume alcohol (%),,,,39.7,31.9,Himachal Pradesh
