,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),54.2,50.0,47.4,26.8,23.3,India
1, Men age 25-29 years married before age 21 years (%),,,32.3,20.3,17.7,India
2, Total fertility rate (children per woman),3.4,2.9,2.7,2.2,2.0,India
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,16.0,7.9,6.8,India
4, Infant mortality rate (IMR),,,,41.0,35.2,India
5, Under five mortality rate (U5MR),,,,50.0,41.9,India
6, Any modern method (%),36.5,42.8,48.5,47.8,56.5,India
7, Female sterilization (%),27.4,34.1,37.3,36.0,37.9,India
8, Male sterilization (%),3.5,1.9,1.0,0.3,0.3,India
9, Total unmet need (%),19.5,15.8,12.8,12.9,9.4,India
10, Unmet need for spacing (%),11.0,8.3,6.2,5.7,4.0,India
11, Mothers who had at least 3 antenatal care visits for their last birth (%),43.9,44.2,50.7,51.2,58.1,India
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3197.0,2916.0,India
13, Institutional births (%),26.1,33.6,40.8,78.9,88.6,India
14, Births delivered by caesarean section (%),,,,17.2,61.9,India
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",35.5,42.0,43.5,62.0,76.4,India
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,90.7,94.5,India
17, Children under age 6 months exclusively breastfed (%),,,46.3,54.9,63.7,India
18, Children under 5 years who are stunted (heightforage),,51.0,44.9,38.4,35.5,India
19, Children under 5 years who are wasted (weightforheight),,19.7,22.9,21.0,19.3,India
20, Children under 3 years who are underweight (%),51.5,42.7,40.4,35.8,32.1,India
21, Women who are overweight or obese (%),,10.6,14.8,20.6,24.0,India
22, Men who are overweight or obese (%),,,,18.9,22.9,India
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,49.7,57.9,50.4,52.2,India
24, Currently married women who usually participate in three household decisions (%),,,36.7,84.0,88.7,India
25, Women who worked in the last 12 months and were paid in cash (%),,,,24.6,25.4,India
26, Women owning a house and/or land (alone or jointly with others) (%),,,,38.4,43.3,India
27, Women having a bank or savings account that they themselves use (%),,,,53.0,78.6,India
28, Women having a mobile phone that they themselves use (%),,,,45.9,54.0,India
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,57.6,77.3,India
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,37.2,31.1,29.3,India
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,1.5,India
32, Women who use any kind of tobacco (%),,,,6.8,8.9,India
33, Men who use any kind of tobacco (%),,,,44.5,38.0,India
34, Women who consume alcohol (%),,,,1.2,1.3,India
35, Men who consume alcohol (%),,,,29.2,18.8,India
