,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,22.1,14.4,8.7,4.5,Jammu and Kashmir
1, Men age 25-29 years married before age 21 years (%),,,15.3,10.5,8.5,Jammu and Kashmir
2, Total fertility rate (children per woman),,2.7,2.4,2.0,1.4,Jammu and Kashmir
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,4.2,2.9,1.0,Jammu and Kashmir
4, Infant mortality rate (IMR),,,,32.0,16.3,Jammu and Kashmir
5, Under five mortality rate (U5MR),,,,38.0,18.5,Jammu and Kashmir
6, Any modern method (%),,41.7,44.9,46.1,52.5,Jammu and Kashmir
7, Female sterilization (%),,28.0,26.3,24.4,21.1,Jammu and Kashmir
8, Male sterilization (%),,2.7,2.6,0.4,0.3,Jammu and Kashmir
9, Total unmet need (%),,20.0,14.5,12.3,7.8,Jammu and Kashmir
10, Unmet need for spacing (%),,7.4,5.8,5.8,3.9,Jammu and Kashmir
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,67.2,74.2,81.3,80.9,Jammu and Kashmir
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,4192.0,5145.0,Jammu and Kashmir
13, Institutional births (%),,35.7,254.3,85.6,92.4,Jammu and Kashmir
14, Births delivered by caesarean section (%),,,,33.1,86.8,Jammu and Kashmir
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,56.7,66.7,75.1,86.2,Jammu and Kashmir
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,97.5,99.1,Jammu and Kashmir
17, Children under age 6 months exclusively breastfed (%),,,42.3,65.4,62.0,Jammu and Kashmir
18, Children under 5 years who are stunted (heightforage),,44.6,33.1,27.4,26.9,Jammu and Kashmir
19, Children under 5 years who are wasted (weightforheight),,14.8,18.1,12.1,19.0,Jammu and Kashmir
20, Children under 3 years who are underweight (%),,29.2,24.0,16.6,21.0,Jammu and Kashmir
21, Women who are overweight or obese (%),,13.8,22.7,29.1,29.3,Jammu and Kashmir
22, Men who are overweight or obese (%),,18.2,,20.5,31.6,Jammu and Kashmir
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),56.3,44.0,,47.5,44.1,Jammu and Kashmir
24, Currently married women who usually participate in three household decisions (%),,,25.2,84.0,81.6,Jammu and Kashmir
25, Women who worked in the last 12 months and were paid in cash (%),,,,12.4,18.4,Jammu and Kashmir
26, Women owning a house and/or land (alone or jointly with others) (%),,,,33.3,57.3,Jammu and Kashmir
27, Women having a bank or savings account that they themselves use (%),,,,60.3,84.9,Jammu and Kashmir
28, Women having a mobile phone that they themselves use (%),,,,54.2,75.2,Jammu and Kashmir
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,66.5,73.4,Jammu and Kashmir
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,12.6,9.4,9.6,Jammu and Kashmir
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,4.0,Jammu and Kashmir
32, Women who use any kind of tobacco (%),,,,2.8,3.6,Jammu and Kashmir
33, Men who use any kind of tobacco (%),,,,38.2,38.3,Jammu and Kashmir
34, Women who consume alcohol (%),,,,0.1,0.2,Jammu and Kashmir
35, Men who consume alcohol (%),,,,10.5,8.8,Jammu and Kashmir
