,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,64.1,63.2,37.9,32.2,Jharkhand
1, Men age 25-29 years married before age 21 years (%),,,47.1,30.5,22.7,Jharkhand
2, Total fertility rate (children per woman),,2.8,3.3,2.6,2.3,Jharkhand
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,27.5,12.0,9.8,Jharkhand
4, Infant mortality rate (IMR),,,,44.0,37.9,Jharkhand
5, Under five mortality rate (U5MR),,,,54.0,45.4,Jharkhand
6, Any modern method (%),,24.9,31.1,37.5,49.5,Jharkhand
7, Female sterilization (%),,21.1,23.4,31.1,37.4,Jharkhand
8, Male sterilization (%),,0.9,0.4,0.2,0.3,Jharkhand
9, Total unmet need (%),,21.0,23.1,18.4,11.5,Jharkhand
10, Unmet need for spacing (%),,11.1,11.3,9.0,4.8,Jharkhand
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,24.5,36.1,30.3,38.6,Jharkhand
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1476.0,2069.0,Jharkhand
13, Institutional births (%),,13.9,19.2,61.9,75.8,Jharkhand
14, Births delivered by caesarean section (%),,,,9.9,56.8,Jharkhand
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,8.8,34.2,61.9,73.9,Jharkhand
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,95.3,96.5,Jharkhand
17, Children under age 6 months exclusively breastfed (%),,,57.8,64.8,76.1,Jharkhand
18, Children under 5 years who are stunted (heightforage),,54.1,47.2,45.3,39.6,Jharkhand
19, Children under 5 years who are wasted (weightforheight),,28.0,35.8,29.0,22.4,Jharkhand
20, Children under 3 years who are underweight (%),,51.5,54.6,47.8,39.4,Jharkhand
21, Women who are overweight or obese (%),,3.2,5.9,10.3,11.9,Jharkhand
22, Men who are overweight or obese (%),,,,11.1,15.1,Jharkhand
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,64.0,68.4,62.6,56.8,Jharkhand
24, Currently married women who usually participate in three household decisions (%),,,41.8,86.6,91.0,Jharkhand
25, Women who worked in the last 12 months and were paid in cash (%),,,,24.8,18.0,Jharkhand
26, Women owning a house and/or land (alone or jointly with others) (%),,,,49.7,64.2,Jharkhand
27, Women having a bank or savings account that they themselves use (%),,,,45.1,79.6,Jharkhand
28, Women having a mobile phone that they themselves use (%),,,,35.2,49.0,Jharkhand
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,49.6,74.9,Jharkhand
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,,34.0,31.5,Jharkhand
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,1.3,Jharkhand
32, Women who use any kind of tobacco (%),,,,5.8,8.4,Jharkhand
33, Men who use any kind of tobacco (%),,,,48.6,47.4,Jharkhand
34, Women who consume alcohol (%),,,,4.1,6.1,Jharkhand
35, Men who consume alcohol (%),,,,39.3,35.0,Jharkhand
