,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),19.3,17.0,15.4,7.6,6.3,Kerala
1, Men age 25-29 years married before age 21 years (%),,,2.9,2.8,1.4,Kerala
2, Total fertility rate (children per woman),2.0,2.0,1.9,1.6,1.8,Kerala
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,5.8,3.0,2.4,Kerala
4, Infant mortality rate (IMR),,,,6.0,4.4,Kerala
5, Under five mortality rate (U5MR),,,,7.0,5.2,Kerala
6, Any modern method (%),54.4,56.1,57.9,50.3,52.8,Kerala
7, Female sterilization (%),41.8,48.5,48.7,45.8,46.6,Kerala
8, Male sterilization (%),6.5,2.5,1.0,0.1,0.1,Kerala
9, Total unmet need (%),11.7,11.7,8.9,13.7,12.5,Kerala
10, Unmet need for spacing (%),7.2,6.9,6.0,8.3,7.0,Kerala
11, Mothers who had at least 3 antenatal care visits for their last birth (%),95.4,98.6,93.9,90.1,78.6,Kerala
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,6901.0,6710.0,Kerala
13, Institutional births (%),88.9,92.9,99.5,99.8,99.8,Kerala
14, Births delivered by caesarean section (%),,,,35.8,34.1,Kerala
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",54.4,79.7,75.3,82.1,77.8,Kerala
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,77.6,87.3,Kerala
17, Children under age 6 months exclusively breastfed (%),,,56.2,53.3,55.5,Kerala
18, Children under 5 years who are stunted (heightforage),32.8,28.0,26.5,19.7,23.4,Kerala
19, Children under 5 years who are wasted (weightforheight),13.7,13.0,15.6,15.7,15.8,Kerala
20, Children under 3 years who are underweight (%),22.1,21.7,21.2,16.1,19.7,Kerala
21, Women who are overweight or obese (%),,20.6,34.0,32.4,38.1,Kerala
22, Men who are overweight or obese (%),,35.0,,28.5,36.4,Kerala
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,20.3,33.8,22.6,31.4,Kerala
24, Currently married women who usually participate in three household decisions (%),,,47.2,92.1,94.1,Kerala
25, Women who worked in the last 12 months and were paid in cash (%),,,,20.4,25.8,Kerala
26, Women owning a house and/or land (alone or jointly with others) (%),,,,34.9,27.3,Kerala
27, Women having a bank or savings account that they themselves use (%),,,,70.6,78.5,Kerala
28, Women having a mobile phone that they themselves use (%),,,,81.2,86.6,Kerala
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,90.0,93.0,Kerala
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,16.4,14.3,9.9,Kerala
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,1.6,Kerala
32, Women who use any kind of tobacco (%),,,,0.8,2.2,Kerala
33, Men who use any kind of tobacco (%),,,,25.7,16.9,Kerala
34, Women who consume alcohol (%),,,,1.6,0.2,Kerala
35, Men who consume alcohol (%),,,,37.0,19.9,Kerala
