,INDICATORS,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),1.9,1.3,Lakshadweep
1, Men age 25-29 years married before age 21 years (%),0.0,,Lakshadweep
2, Total fertility rate (children per woman),1.8,1.4,Lakshadweep
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,1.1,Lakshadweep
4, Infant mortality rate (IMR),,0.0,Lakshadweep
5, Under five mortality rate (U5MR),,0.0,Lakshadweep
6, Any modern method (%),15.7,30.1,Lakshadweep
7, Female sterilization (%),10.7,20.7,Lakshadweep
8, Male sterilization (%),0.0,0.0,Lakshadweep
9, Total unmet need (%),16.9,12.3,Lakshadweep
10, Unmet need for spacing (%),12.7,8.0,Lakshadweep
11, Mothers who had at least 3 antenatal care visits for their last birth (%),82.3,88.3,Lakshadweep
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),4580.0,2533.0,Lakshadweep
13, Institutional births (%),99.3,99.6,Lakshadweep
14, Births delivered by caesarean section (%),38.4,65.3,Lakshadweep
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",89.0,86.1,Lakshadweep
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,100.0,100.0,Lakshadweep
17, Children under age 6 months exclusively breastfed (%),54.8,67.0,Lakshadweep
18, Children under 5 years who are stunted (heightforage),26.8,32.0,Lakshadweep
19, Children under 5 years who are wasted (weightforheight),13.7,17.4,Lakshadweep
20, Children under 3 years who are underweight (%),23.6,25.8,Lakshadweep
21, Women who are overweight or obese (%),40.6,33.5,Lakshadweep
22, Men who are overweight or obese (%),24.1,41.3,Lakshadweep
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),39.0,20.9,Lakshadweep
24, Currently married women who usually participate in three household decisions (%),82.1,92.2,Lakshadweep
25, Women who worked in the last 12 months and were paid in cash (%),20.9,10.9,Lakshadweep
26, Women owning a house and/or land (alone or jointly with others) (%),42.6,30.7,Lakshadweep
27, Women having a bank or savings account that they themselves use (%),74.4,66.9,Lakshadweep
28, Women having a mobile phone that they themselves use (%),64.9,84.0,Lakshadweep
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,97.0,98.3,Lakshadweep
30, Evermarried women age 18-49 years who have ever experienced spousal violence,8.9,1.3,Lakshadweep
31, Young women age 18-29 years who experienced sexual violence by age 18,,0.8,Lakshadweep
32, Women who use any kind of tobacco (%),16.4,17.5,Lakshadweep
33, Men who use any kind of tobacco (%),24.7,28.5,Lakshadweep
34, Women who consume alcohol (%),0.0,0.3,Lakshadweep
35, Men who consume alcohol (%),5.4,0.4,Lakshadweep
