,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,64.7,57.3,32.4,23.1,Madhya Pradesh
1, Men age 25-29 years married before age 21 years (%),,,54.0,31.2,30.1,Madhya Pradesh
2, Total fertility rate (children per woman),,3.4,3.1,2.3,2.0,Madhya Pradesh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,13.6,7.3,5.1,Madhya Pradesh
4, Infant mortality rate (IMR),,,,51.0,41.3,Madhya Pradesh
5, Under five mortality rate (U5MR),,,,65.0,49.2,Madhya Pradesh
6, Any modern method (%),,42.8,52.8,49.6,65.5,Madhya Pradesh
7, Female sterilization (%),,36.0,44.3,42.2,51.9,Madhya Pradesh
8, Male sterilization (%),,1.9,1.3,0.5,0.7,Madhya Pradesh
9, Total unmet need (%),,17.1,11.3,12.1,7.7,Madhya Pradesh
10, Unmet need for spacing (%),,9.2,5.4,5.7,3.9,Madhya Pradesh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,27.1,40.2,35.7,57.5,Madhya Pradesh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1481.0,1619.0,Madhya Pradesh
13, Institutional births (%),,22.0,229.7,80.8,90.7,Madhya Pradesh
14, Births delivered by caesarean section (%),,,,8.6,80.2,Madhya Pradesh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,22.6,40.3,53.6,77.1,Madhya Pradesh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,95.7,98.4,Madhya Pradesh
17, Children under age 6 months exclusively breastfed (%),,,21.6,58.2,74.0,Madhya Pradesh
18, Children under 5 years who are stunted (heightforage),,55.1,46.5,42.0,35.7,Madhya Pradesh
19, Children under 5 years who are wasted (weightforheight),,25.2,39.5,25.8,19.0,Madhya Pradesh
20, Children under 3 years who are underweight (%),,50.8,57.9,42.8,33.0,Madhya Pradesh
21, Women who are overweight or obese (%),,6.8,8.6,13.6,16.6,Madhya Pradesh
22, Men who are overweight or obese (%),,,,10.9,15.6,Madhya Pradesh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,,,54.6,52.9,Madhya Pradesh
24, Currently married women who usually participate in three household decisions (%),,,29.4,82.8,86.0,Madhya Pradesh
25, Women who worked in the last 12 months and were paid in cash (%),,,,29.9,26.8,Madhya Pradesh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,43.5,39.9,Madhya Pradesh
27, Women having a bank or savings account that they themselves use (%),,,,37.3,74.7,Madhya Pradesh
28, Women having a mobile phone that they themselves use (%),,,,28.7,38.5,Madhya Pradesh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,37.6,60.5,Madhya Pradesh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,45.7,33.0,28.1,Madhya Pradesh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,1.0,Madhya Pradesh
32, Women who use any kind of tobacco (%),,,,10.4,10.2,Madhya Pradesh
33, Men who use any kind of tobacco (%),,,,59.5,46.5,Madhya Pradesh
34, Women who consume alcohol (%),,,,1.6,1.0,Madhya Pradesh
35, Men who consume alcohol (%),,,,29.6,17.1,Madhya Pradesh
