,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),53.9,47.7,39.4,26.3,21.9,Maharashtra
1, Men age 25-29 years married before age 21 years (%),,,15.4,11.4,10.5,Maharashtra
2, Total fertility rate (children per woman),2.9,2.5,2.1,1.9,1.7,Maharashtra
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,13.8,8.3,7.6,Maharashtra
4, Infant mortality rate (IMR),,,,24.0,23.2,Maharashtra
5, Under five mortality rate (U5MR),,,,29.0,28.0,Maharashtra
6, Any modern method (%),52.9,59.9,64.9,62.6,63.8,Maharashtra
7, Female sterilization (%),40.3,48.5,51.1,50.7,49.1,Maharashtra
8, Male sterilization (%),6.2,3.7,2.1,0.4,0.4,Maharashtra
9, Total unmet need (%),14.1,13.0,9.4,9.7,9.6,Maharashtra
10, Unmet need for spacing (%),7.3,8.1,5.4,4.3,3.9,Maharashtra
11, Mothers who had at least 3 antenatal care visits for their last birth (%),63.3,66.2,75.3,72.2,70.3,Maharashtra
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3578.0,2966.0,Maharashtra
13, Institutional births (%),44.5,52.6,66.1,90.3,94.7,Maharashtra
14, Births delivered by caesarean section (%),,,,20.1,55.8,Maharashtra
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",64.3,78.4,58.8,56.2,73.5,Maharashtra
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,86.2,89.5,Maharashtra
17, Children under age 6 months exclusively breastfed (%),,,53.0,56.6,71.0,Maharashtra
18, Children under 5 years who are stunted (heightforage),47.0,47.1,44.0,34.4,35.2,Maharashtra
19, Children under 5 years who are wasted (weightforheight),27.6,23.6,17.2,25.6,25.6,Maharashtra
20, Children under 3 years who are underweight (%),47.3,44.8,32.7,36.0,36.1,Maharashtra
21, Women who are overweight or obese (%),,11.7,17.1,23.4,23.4,Maharashtra
22, Men who are overweight or obese (%),,25.2,,23.8,24.7,Maharashtra
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,52.6,57.8,49.3,45.7,Maharashtra
24, Currently married women who usually participate in three household decisions (%),,,45.4,89.3,89.8,Maharashtra
25, Women who worked in the last 12 months and were paid in cash (%),,,,28.9,34.7,Maharashtra
26, Women owning a house and/or land (alone or jointly with others) (%),,,,34.3,22.9,Maharashtra
27, Women having a bank or savings account that they themselves use (%),,,,45.3,72.8,Maharashtra
28, Women having a mobile phone that they themselves use (%),,,,45.6,54.8,Maharashtra
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,66.1,84.8,Maharashtra
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,30.7,21.4,25.2,Maharashtra
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,6.2,Maharashtra
32, Women who use any kind of tobacco (%),,,,5.8,10.9,Maharashtra
33, Men who use any kind of tobacco (%),,,,36.5,33.8,Maharashtra
34, Women who consume alcohol (%),,,,0.2,0.4,Maharashtra
35, Men who consume alcohol (%),,,,20.5,13.9,Maharashtra
