,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),14.3,9.9,12.9,13.7,16.3,Manipur
1, Men age 25-29 years married before age 21 years (%),,,11.6,15.1,15.3,Manipur
2, Total fertility rate (children per woman),2.8,3.0,2.8,2.6,2.2,Manipur
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,7.3,7.4,8.6,Manipur
4, Infant mortality rate (IMR),,,,22.0,25.0,Manipur
5, Under five mortality rate (U5MR),,,,26.0,30.0,Manipur
6, Any modern method (%),24.1,25.9,23.6,12.7,18.2,Manipur
7, Female sterilization (%),10.9,14.4,8.2,3.1,3.7,Manipur
8, Male sterilization (%),2.9,1.1,0.5,0.1,0.0,Manipur
9, Total unmet need (%),21.7,23.6,12.4,30.1,12.2,Manipur
10, Unmet need for spacing (%),11.7,13.6,5.0,12.7,4.7,Manipur
11, Mothers who had at least 3 antenatal care visits for their last birth (%),41.3,54.7,70.1,69.0,79.4,Manipur
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,10348.0,14518.0,Manipur
13, Institutional births (%),23.0,34.5,249.3,69.1,79.9,Manipur
14, Births delivered by caesarean section (%),,,,21.1,59.4,Manipur
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",29.1,42.3,46.8,65.8,68.8,Manipur
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,92.9,92.3,Manipur
17, Children under age 6 months exclusively breastfed (%),,,61.7,73.6,70.7,Manipur
18, Children under 5 years who are stunted (heightforage),32.0,38.5,29.0,28.9,23.4,Manipur
19, Children under 5 years who are wasted (weightforheight),9.9,9.7,10.8,6.8,9.9,Manipur
20, Children under 3 years who are underweight (%),19.1,20.1,19.5,13.8,13.3,Manipur
21, Women who are overweight or obese (%),,10.8,17.6,26.0,34.1,Manipur
22, Men who are overweight or obese (%),,,,19.8,30.3,Manipur
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,,,26.0,32.4,Manipur
24, Currently married women who usually participate in three household decisions (%),,,69.4,96.2,94.8,Manipur
25, Women who worked in the last 12 months and were paid in cash (%),,,,40.9,42.1,Manipur
26, Women owning a house and/or land (alone or jointly with others) (%),,,,69.9,58.4,Manipur
27, Women having a bank or savings account that they themselves use (%),,,,34.8,74.0,Manipur
28, Women having a mobile phone that they themselves use (%),,,,63.1,72.2,Manipur
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,76.1,82.9,Manipur
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,43.8,53.1,39.6,Manipur
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,5.4,Manipur
32, Women who use any kind of tobacco (%),,,,48.8,43.1,Manipur
33, Men who use any kind of tobacco (%),,,,70.7,58.1,Manipur
34, Women who consume alcohol (%),,,,6.1,0.9,Manipur
35, Men who consume alcohol (%),,,,52.6,37.5,Manipur
