,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),28.1,25.5,24.6,16.9,16.9,Meghalaya
1, Men age 25-29 years married before age 21 years (%),,,27.1,13.6,17.9,Meghalaya
2, Total fertility rate (children per woman),3.7,4.6,3.8,3.0,2.9,Meghalaya
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,8.3,8.6,7.2,Meghalaya
4, Infant mortality rate (IMR),,,,30.0,32.3,Meghalaya
5, Under five mortality rate (U5MR),,,,40.0,40.0,Meghalaya
6, Any modern method (%),15.1,15.5,18.5,21.9,22.5,Meghalaya
7, Female sterilization (%),9.4,6.5,9.5,6.2,5.6,Meghalaya
8, Male sterilization (%),0.6,0.0,0.1,0.0,0.0,Meghalaya
9, Total unmet need (%),25.1,35.5,35.0,21.2,26.9,Meghalaya
10, Unmet need for spacing (%),20.6,23.4,23.2,15.3,18.3,Meghalaya
11, Mothers who had at least 3 antenatal care visits for their last birth (%),41.4,32.0,53.4,50.0,52.2,Meghalaya
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3319.0,3219.0,Meghalaya
13, Institutional births (%),31.0,17.3,229.7,51.4,58.1,Meghalaya
14, Births delivered by caesarean section (%),,,,7.6,49.1,Meghalaya
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",9.7,14.3,32.9,61.4,63.8,Meghalaya
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,92.4,93.6,Meghalaya
17, Children under age 6 months exclusively breastfed (%),,,26.3,35.8,42.7,Meghalaya
18, Children under 5 years who are stunted (heightforage),52.6,48.8,47.7,43.8,46.5,Meghalaya
19, Children under 5 years who are wasted (weightforheight),18.9,14.9,31.8,15.3,12.1,Meghalaya
20, Children under 3 years who are underweight (%),36.9,28.6,42.9,28.9,26.6,Meghalaya
21, Women who are overweight or obese (%),,5.8,7.1,12.2,11.5,Meghalaya
22, Men who are overweight or obese (%),,16.2,,10.1,13.9,Meghalaya
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),58.6,,,53.3,45.0,Meghalaya
24, Currently married women who usually participate in three household decisions (%),,,77.3,91.4,92.3,Meghalaya
25, Women who worked in the last 12 months and were paid in cash (%),,,,35.9,40.0,Meghalaya
26, Women owning a house and/or land (alone or jointly with others) (%),,,,57.3,65.0,Meghalaya
27, Women having a bank or savings account that they themselves use (%),,,,54.4,70.4,Meghalaya
28, Women having a mobile phone that they themselves use (%),,,,64.3,67.5,Meghalaya
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,63.7,64.9,Meghalaya
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,12.8,28.7,16.0,Meghalaya
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,6.7,Meghalaya
32, Women who use any kind of tobacco (%),,,,32.3,28.2,Meghalaya
33, Men who use any kind of tobacco (%),,,,72.2,57.7,Meghalaya
34, Women who consume alcohol (%),,,,2.1,1.5,Meghalaya
35, Men who consume alcohol (%),,,,44.6,32.4,Meghalaya
