,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),13.3,11.6,20.6,10.9,8.0,Mizoram
1, Men age 25-29 years married before age 21 years (%),,,20.8,14.3,11.0,Mizoram
2, Total fertility rate (children per woman),2.3,2.9,2.9,2.3,1.9,Mizoram
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,10.1,7.2,4.1,Mizoram
4, Infant mortality rate (IMR),,,,40.0,21.3,Mizoram
5, Under five mortality rate (U5MR),,,,46.0,24.0,Mizoram
6, Any modern method (%),52.9,57.1,59.6,35.2,30.8,Mizoram
7, Female sterilization (%),44.5,45.2,42.9,17.4,13.0,Mizoram
8, Male sterilization (%),0.1,0.1,0.0,0.0,0.0,Mizoram
9, Total unmet need (%),11.9,15.5,17.3,20.0,18.9,Mizoram
10, Unmet need for spacing (%),9.2,11.7,12.3,12.4,12.8,Mizoram
11, Mothers who had at least 3 antenatal care visits for their last birth (%),69.2,75.1,57.8,61.4,58.0,Mizoram
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,4298.0,7008.0,Mizoram
13, Institutional births (%),48.5,57.7,64.6,79.7,85.8,Mizoram
14, Births delivered by caesarean section (%),,,,12.7,73.8,Mizoram
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",56.9,59.6,46.5,50.7,72.5,Mizoram
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,92.4,96.9,Mizoram
17, Children under age 6 months exclusively breastfed (%),,,46.1,61.1,67.9,Mizoram
18, Children under 5 years who are stunted (heightforage),41.0,41.3,35.1,28.1,28.9,Mizoram
19, Children under 5 years who are wasted (weightforheight),5.2,13.3,9.7,6.1,9.8,Mizoram
20, Children under 3 years who are underweight (%),17.2,19.8,14.2,12.0,12.7,Mizoram
21, Women who are overweight or obese (%),,5.3,12.0,21.0,24.2,Mizoram
22, Men who are overweight or obese (%),,21.6,,20.9,31.9,Mizoram
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,45.7,51.7,27.0,34.0,Mizoram
24, Currently married women who usually participate in three household decisions (%),,,70.4,96.0,98.8,Mizoram
25, Women who worked in the last 12 months and were paid in cash (%),,,,29.4,29.2,Mizoram
26, Women owning a house and/or land (alone or jointly with others) (%),,,,19.6,20.8,Mizoram
27, Women having a bank or savings account that they themselves use (%),,,,57.1,80.7,Mizoram
28, Women having a mobile phone that they themselves use (%),,,,77.0,82.3,Mizoram
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,93.4,89.8,Mizoram
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,22.1,17.0,10.9,Mizoram
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,2.0,Mizoram
32, Women who use any kind of tobacco (%),,,,59.5,61.6,Mizoram
33, Men who use any kind of tobacco (%),,,,80.5,72.9,Mizoram
34, Women who consume alcohol (%),,,,5.0,0.9,Mizoram
35, Men who consume alcohol (%),,,,49.5,23.8,Mizoram
