,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),45.5,37.6,37.2,21.3,20.5,Odisha
1, Men age 25-29 years married before age 21 years (%),,,22.2,11.0,13.3,Odisha
2, Total fertility rate (children per woman),2.9,2.5,2.4,2.1,1.8,Odisha
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.4,7.6,7.6,Odisha
4, Infant mortality rate (IMR),,,,40.0,36.3,Odisha
5, Under five mortality rate (U5MR),,,,48.0,41.1,Odisha
6, Any modern method (%),34.7,40.3,44.7,45.4,48.8,Odisha
7, Female sterilization (%),28.3,33.9,33.1,28.2,28.0,Odisha
8, Male sterilization (%),3.4,1.7,1.0,0.2,0.3,Odisha
9, Total unmet need (%),22.4,15.5,14.9,13.6,7.2,Odisha
10, Unmet need for spacing (%),12.7,8.7,6.8,4.7,2.5,Odisha
11, Mothers who had at least 3 antenatal care visits for their last birth (%),34.9,48.0,60.9,61.9,78.1,Odisha
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,4226.0,4139.0,Odisha
13, Institutional births (%),14.1,22.6,238.8,85.3,92.2,Odisha
14, Births delivered by caesarean section (%),,,,13.8,78.7,Odisha
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",36.1,43.7,51.8,78.6,90.5,Odisha
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,98.3,98.1,Odisha
17, Children under age 6 months exclusively breastfed (%),,,50.2,65.6,72.9,Odisha
18, Children under 5 years who are stunted (heightforage),50.8,49.1,43.9,34.1,31.0,Odisha
19, Children under 5 years who are wasted (weightforheight),28.2,29.7,23.7,20.4,18.1,Odisha
20, Children under 3 years who are underweight (%),50.0,50.3,39.5,34.4,29.7,Odisha
21, Women who are overweight or obese (%),,4.4,7.6,16.5,23.0,Odisha
22, Men who are overweight or obese (%),,21.5,,17.2,22.2,Odisha
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),60.5,53.1,,47.6,61.8,Odisha
24, Currently married women who usually participate in three household decisions (%),,,41.8,81.8,90.2,Odisha
25, Women who worked in the last 12 months and were paid in cash (%),,,,22.5,25.7,Odisha
26, Women owning a house and/or land (alone or jointly with others) (%),,,,63.5,43.5,Odisha
27, Women having a bank or savings account that they themselves use (%),,,,56.2,86.5,Odisha
28, Women having a mobile phone that they themselves use (%),,,,39.2,50.1,Odisha
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,47.4,81.5,Odisha
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,38.4,35.2,30.6,Odisha
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.8,Odisha
32, Women who use any kind of tobacco (%),,,,17.3,26.0,Odisha
33, Men who use any kind of tobacco (%),,,,55.9,51.6,Odisha
34, Women who consume alcohol (%),,,,2.4,4.3,Odisha
35, Men who consume alcohol (%),,,,39.3,28.8,Odisha
