,INDICATORS,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),9.7,6.5,Puducherry
1, Men age 25-29 years married before age 21 years (%),5.2,6.5,Puducherry
2, Total fertility rate (children per woman),1.7,1.5,Puducherry
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7,4.1,Puducherry
4, Infant mortality rate (IMR),16.0,2.9,Puducherry
5, Under five mortality rate (U5MR),17.0,3.9,Puducherry
6, Any modern method (%),61.8,62.1,Puducherry
7, Female sterilization (%),58.0,53.8,Puducherry
8, Male sterilization (%),0.0,0.3,Puducherry
9, Total unmet need (%),8.0,10.5,Puducherry
10, Unmet need for spacing (%),4.7,3.2,Puducherry
11, Mothers who had at least 3 antenatal care visits for their last birth (%),87.7,86.9,Puducherry
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),2121.0,3259.0,Puducherry
13, Institutional births (%),99.9,99.6,Puducherry
14, Births delivered by caesarean section (%),34.0,76.6,Puducherry
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",91.4,82.0,Puducherry
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,90.3,97.1,Puducherry
17, Children under age 6 months exclusively breastfed (%),47.6,64.8,Puducherry
18, Children under 5 years who are stunted (heightforage),24.0,20.0,Puducherry
19, Children under 5 years who are wasted (weightforheight),23.8,12.4,Puducherry
20, Children under 3 years who are underweight (%),22.7,15.3,Puducherry
21, Women who are overweight or obese (%),36.9,46.2,Puducherry
22, Men who are overweight or obese (%),37.2,43.3,Puducherry
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),27.8,42.5,Puducherry
24, Currently married women who usually participate in three household decisions (%),85.1,97.9,Puducherry
25, Women who worked in the last 12 months and were paid in cash (%),21.2,38.2,Puducherry
26, Women owning a house and/or land (alone or jointly with others) (%),40.3,37.3,Puducherry
27, Women having a bank or savings account that they themselves use (%),68.2,92.6,Puducherry
28, Women having a mobile phone that they themselves use (%),67.2,82.9,Puducherry
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,96.9,99.1,Puducherry
30, Evermarried women age 18-49 years who have ever experienced spousal violence,34.6,30.5,Puducherry
31, Young women age 18-29 years who experienced sexual violence by age 18,,0.0,Puducherry
32, Women who use any kind of tobacco (%),1.0,2.6,Puducherry
33, Men who use any kind of tobacco (%),14.4,14.8,Puducherry
34, Women who consume alcohol (%),0.6,0.3,Puducherry
35, Men who consume alcohol (%),41.0,27.7,Puducherry
