,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),14.9,11.6,19.7,7.6,8.7,Punjab
1, Men age 25-29 years married before age 21 years (%),,,27.2,11.1,11.4,Punjab
2, Total fertility rate (children per woman),2.9,2.2,2.0,1.6,1.6,Punjab
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,5.5,2.6,3.1,Punjab
4, Infant mortality rate (IMR),,,,29.0,28.0,Punjab
5, Under five mortality rate (U5MR),,,,33.0,32.7,Punjab
6, Any modern method (%),51.3,53.8,56.1,66.3,50.5,Punjab
7, Female sterilization (%),31.5,29.3,30.8,37.5,22.8,Punjab
8, Male sterilization (%),2.5,1.6,1.2,0.6,0.5,Punjab
9, Total unmet need (%),13.0,7.3,7.3,6.2,9.9,Punjab
10, Unmet need for spacing (%),6.5,2.8,2.6,2.4,3.7,Punjab
11, Mothers who had at least 3 antenatal care visits for their last birth (%),62.2,58.4,72.8,68.5,59.3,Punjab
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1890.0,3745.0,Punjab
13, Institutional births (%),24.8,37.5,252.5,90.5,94.3,Punjab
14, Births delivered by caesarean section (%),,,,24.6,53.9,Punjab
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",61.9,72.1,60.1,89.1,76.2,Punjab
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,89.0,90.6,Punjab
17, Children under age 6 months exclusively breastfed (%),,,36.0,53.0,55.5,Punjab
18, Children under 5 years who are stunted (heightforage),45.2,45.2,34.7,25.7,24.5,Punjab
19, Children under 5 years who are wasted (weightforheight),20.8,8.1,10.2,15.6,10.6,Punjab
20, Children under 3 years who are underweight (%),39.9,24.7,23.6,21.6,16.9,Punjab
21, Women who are overweight or obese (%),,30.2,37.5,31.3,40.8,Punjab
22, Men who are overweight or obese (%),,39.6,,27.8,32.2,Punjab
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),37.1,38.6,,42.0,51.7,Punjab
24, Currently married women who usually participate in three household decisions (%),,,37.4,90.2,91.4,Punjab
25, Women who worked in the last 12 months and were paid in cash (%),,,,18.5,22.3,Punjab
26, Women owning a house and/or land (alone or jointly with others) (%),,,,32.1,63.5,Punjab
27, Women having a bank or savings account that they themselves use (%),,,,58.8,81.6,Punjab
28, Women having a mobile phone that they themselves use (%),,,,57.2,61.2,Punjab
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,84.4,93.2,Punjab
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,,20.5,11.6,Punjab
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.1,Punjab
32, Women who use any kind of tobacco (%),,,,0.1,0.4,Punjab
33, Men who use any kind of tobacco (%),,,,19.2,12.9,Punjab
34, Women who consume alcohol (%),,,,0.1,0.3,Punjab
35, Men who consume alcohol (%),,,,34.0,22.8,Punjab
