,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),69.5,68.3,65.2,35.4,25.4,Rajasthan
1, Men age 25-29 years married before age 21 years (%),,,57.0,35.7,28.2,Rajasthan
2, Total fertility rate (children per woman),3.6,3.8,3.2,2.4,2.0,Rajasthan
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,16.0,6.3,3.7,Rajasthan
4, Infant mortality rate (IMR),,,,41.0,30.3,Rajasthan
5, Under five mortality rate (U5MR),,,,51.0,37.6,Rajasthan
6, Any modern method (%),31.0,38.1,44.4,53.5,62.1,Rajasthan
7, Female sterilization (%),25.4,30.8,34.2,40.7,42.4,Rajasthan
8, Male sterilization (%),2.4,1.5,0.8,0.2,0.3,Rajasthan
9, Total unmet need (%),19.8,17.6,14.6,12.3,7.6,Rajasthan
10, Unmet need for spacing (%),10.8,8.7,7.3,5.7,3.7,Rajasthan
11, Mothers who had at least 3 antenatal care visits for their last birth (%),18.1,23.6,41.2,38.5,55.3,Rajasthan
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3052.0,2102.0,Rajasthan
13, Institutional births (%),12.0,21.5,232.2,84.0,94.9,Rajasthan
14, Births delivered by caesarean section (%),,,,8.6,77.0,Rajasthan
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",21.1,17.3,26.5,54.8,80.4,Rajasthan
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,94.4,98.0,Rajasthan
17, Children under age 6 months exclusively breastfed (%),,,33.2,58.2,70.4,Rajasthan
18, Children under 5 years who are stunted (heightforage),45.5,59.0,40.1,39.1,31.8,Rajasthan
19, Children under 5 years who are wasted (weightforheight),23.8,16.2,22.5,23.0,16.8,Rajasthan
20, Children under 3 years who are underweight (%),41.8,46.7,36.8,36.7,27.6,Rajasthan
21, Women who are overweight or obese (%),,7.1,10.2,14.1,12.9,Rajasthan
22, Men who are overweight or obese (%),,18.7,,13.2,15.0,Rajasthan
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),51.4,,,46.6,46.3,Rajasthan
24, Currently married women who usually participate in three household decisions (%),,,22.8,81.7,87.7,Rajasthan
25, Women who worked in the last 12 months and were paid in cash (%),,,,18.6,17.4,Rajasthan
26, Women owning a house and/or land (alone or jointly with others) (%),,,,24.1,26.6,Rajasthan
27, Women having a bank or savings account that they themselves use (%),,,,58.2,79.6,Rajasthan
28, Women having a mobile phone that they themselves use (%),,,,41.4,50.2,Rajasthan
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,55.2,84.1,Rajasthan
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,46.3,25.1,24.3,Rajasthan
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.9,Rajasthan
32, Women who use any kind of tobacco (%),,,,6.3,6.9,Rajasthan
33, Men who use any kind of tobacco (%),,,,46.9,42.0,Rajasthan
34, Women who consume alcohol (%),,,,0.1,0.3,Rajasthan
35, Men who consume alcohol (%),,,,15.9,11.0,Rajasthan
