,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,22.3,30.1,15.0,10.8,Sikkim
1, Men age 25-29 years married before age 21 years (%),,,24.0,10.7,5.1,Sikkim
2, Total fertility rate (children per woman),,2.8,2.0,1.2,1.1,Sikkim
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.0,2.8,3.1,Sikkim
4, Infant mortality rate (IMR),,,,30.0,11.2,Sikkim
5, Under five mortality rate (U5MR),,,,32.0,11.2,Sikkim
6, Any modern method (%),,41.4,48.7,45.9,54.9,Sikkim
7, Female sterilization (%),,22.4,21.2,17.6,14.5,Sikkim
8, Male sterilization (%),,2.4,4.5,3.4,1.7,Sikkim
9, Total unmet need (%),,23.1,16.9,21.7,11.9,Sikkim
10, Unmet need for spacing (%),,9.9,5.6,8.9,4.9,Sikkim
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,44.1,69.4,74.7,58.4,Sikkim
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,3993.0,8334.0,Sikkim
13, Institutional births (%),,31.5,249.0,94.7,94.7,Sikkim
14, Births delivered by caesarean section (%),,,,20.9,78.6,Sikkim
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,47.4,69.6,83.0,80.6,Sikkim
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,94.1,100.0,Sikkim
17, Children under age 6 months exclusively breastfed (%),,,37.2,54.6,28.3,Sikkim
18, Children under 5 years who are stunted (heightforage),,35.7,31.8,29.6,22.3,Sikkim
19, Children under 5 years who are wasted (weightforheight),,6.5,12.8,14.2,13.7,Sikkim
20, Children under 3 years who are underweight (%),,15.5,17.3,14.2,13.1,Sikkim
21, Women who are overweight or obese (%),,15.7,19.5,26.7,34.7,Sikkim
22, Men who are overweight or obese (%),,28.5,,34.8,36.3,Sikkim
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),47.6,,,23.6,40.7,Sikkim
24, Currently married women who usually participate in three household decisions (%),,,58.7,95.3,89.7,Sikkim
25, Women who worked in the last 12 months and were paid in cash (%),,,,19.9,32.7,Sikkim
26, Women owning a house and/or land (alone or jointly with others) (%),,,,24.8,53.1,Sikkim
27, Women having a bank or savings account that they themselves use (%),,,,63.5,76.4,Sikkim
28, Women having a mobile phone that they themselves use (%),,,,79.8,88.6,Sikkim
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,84.6,86.3,Sikkim
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,,2.6,12.1,Sikkim
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,3.2,Sikkim
32, Women who use any kind of tobacco (%),,,,7.3,11.7,Sikkim
33, Men who use any kind of tobacco (%),,,,40.3,41.3,Sikkim
34, Women who consume alcohol (%),,,,23.0,16.2,Sikkim
35, Men who consume alcohol (%),,,,51.2,39.8,Sikkim
