,INDICATORS,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),26.2,23.5,Telangana
1, Men age 25-29 years married before age 21 years (%),17.8,16.3,Telangana
2, Total fertility rate (children per woman),1.8,1.8,Telangana
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.6,5.8,Telangana
4, Infant mortality rate (IMR),28.0,26.4,Telangana
5, Under five mortality rate (U5MR),32.0,29.4,Telangana
6, Any modern method (%),57.0,66.7,Telangana
7, Female sterilization (%),54.2,61.9,Telangana
8, Male sterilization (%),1.6,2.0,Telangana
9, Total unmet need (%),7.4,6.4,Telangana
10, Unmet need for spacing (%),3.8,2.8,Telangana
11, Mothers who had at least 3 antenatal care visits for their last birth (%),74.9,70.4,Telangana
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),4218.0,3846.0,Telangana
13, Institutional births (%),91.5,97.0,Telangana
14, Births delivered by caesarean section (%),57.7,49.7,Telangana
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",67.5,79.1,Telangana
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,83.6,94.1,Telangana
17, Children under age 6 months exclusively breastfed (%),67.0,68.2,Telangana
18, Children under 5 years who are stunted (heightforage),28.0,33.1,Telangana
19, Children under 5 years who are wasted (weightforheight),18.1,21.7,Telangana
20, Children under 3 years who are underweight (%),28.4,31.8,Telangana
21, Women who are overweight or obese (%),28.6,30.1,Telangana
22, Men who are overweight or obese (%),24.2,32.3,Telangana
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),48.2,53.2,Telangana
24, Currently married women who usually participate in three household decisions (%),81.0,87.2,Telangana
25, Women who worked in the last 12 months and were paid in cash (%),44.7,45.1,Telangana
26, Women owning a house and/or land (alone or jointly with others) (%),50.3,66.6,Telangana
27, Women having a bank or savings account that they themselves use (%),59.5,84.4,Telangana
28, Women having a mobile phone that they themselves use (%),47.4,60.0,Telangana
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,76.6,92.1,Telangana
30, Evermarried women age 18-49 years who have ever experienced spousal violence,43.1,36.9,Telangana
31, Young women age 18-29 years who experienced sexual violence by age 18,,5.0,Telangana
32, Women who use any kind of tobacco (%),2.8,5.6,Telangana
33, Men who use any kind of tobacco (%),28.2,22.3,Telangana
34, Women who consume alcohol (%),8.7,6.7,Telangana
35, Men who consume alcohol (%),53.8,43.3,Telangana
