,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),41.1,37.7,41.6,33.1,40.1,Tripura
1, Men age 25-29 years married before age 21 years (%),,,11.4,16.2,20.4,Tripura
2, Total fertility rate (children per woman),2.7,1.9,2.2,1.7,1.7,Tripura
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,18.5,18.8,21.9,Tripura
4, Infant mortality rate (IMR),,,,27.0,37.6,Tripura
5, Under five mortality rate (U5MR),,,,33.0,43.3,Tripura
6, Any modern method (%),28.8,43.5,44.9,42.8,49.1,Tripura
7, Female sterilization (%),16.9,26.1,17.6,13.9,10.5,Tripura
8, Male sterilization (%),2.4,0.6,0.5,0.0,0.0,Tripura
9, Total unmet need (%),13.5,17.7,10.3,10.7,8.2,Tripura
10, Unmet need for spacing (%),5.3,8.1,3.8,4.1,2.5,Tripura
11, Mothers who had at least 3 antenatal care visits for their last birth (%),38.4,47.2,58.7,64.3,52.7,Tripura
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,4784.0,6640.0,Tripura
13, Institutional births (%),29.6,45.2,248.9,79.9,89.2,Tripura
14, Births delivered by caesarean section (%),,,,20.5,78.7,Tripura
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",19.0,40.7,49.7,54.5,69.5,Tripura
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,97.4,97.3,Tripura
17, Children under age 6 months exclusively breastfed (%),,,36.1,70.7,62.1,Tripura
18, Children under 5 years who are stunted (heightforage),52.3,44.6,34.1,24.3,32.3,Tripura
19, Children under 5 years who are wasted (weightforheight),20.6,18.0,24.0,16.8,18.2,Tripura
20, Children under 3 years who are underweight (%),42.1,37.3,35.2,24.1,25.6,Tripura
21, Women who are overweight or obese (%),,8.4,7.8,16.0,21.5,Tripura
22, Men who are overweight or obese (%),,,,15.9,23.4,Tripura
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),53.6,,,54.4,61.5,Tripura
24, Currently married women who usually participate in three household decisions (%),,,30.2,91.7,90.9,Tripura
25, Women who worked in the last 12 months and were paid in cash (%),,,,26.3,23.1,Tripura
26, Women owning a house and/or land (alone or jointly with others) (%),,,,57.3,17.2,Tripura
27, Women having a bank or savings account that they themselves use (%),,,,59.2,76.9,Tripura
28, Women having a mobile phone that they themselves use (%),,,,43.9,53.1,Tripura
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,43.5,68.8,Tripura
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,,27.9,20.7,Tripura
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,7.0,Tripura
32, Women who use any kind of tobacco (%),,,,42.2,50.4,Tripura
33, Men who use any kind of tobacco (%),,,,67.8,56.9,Tripura
34, Women who consume alcohol (%),,,,4.8,6.2,Tripura
35, Men who consume alcohol (%),,,,57.6,33.1,Tripura
