,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,64.3,58.6,21.1,15.8,Uttar Pradesh
1, Men age 25-29 years married before age 21 years (%),,,51.4,28.7,23.0,Uttar Pradesh
2, Total fertility rate (children per woman),,4.1,3.8,2.7,2.4,Uttar Pradesh
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.3,3.8,2.9,Uttar Pradesh
4, Infant mortality rate (IMR),,,,64.0,50.4,Uttar Pradesh
5, Under five mortality rate (U5MR),,,,78.0,59.8,Uttar Pradesh
6, Any modern method (%),,20.8,29.3,31.7,44.5,Uttar Pradesh
7, Female sterilization (%),,14.1,17.3,17.3,16.9,Uttar Pradesh
8, Male sterilization (%),,0.5,0.2,0.1,0.1,Uttar Pradesh
9, Total unmet need (%),,25.4,21.2,18.1,12.9,Uttar Pradesh
10, Unmet need for spacing (%),,11.8,9.1,6.8,4.8,Uttar Pradesh
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,14.6,26.3,26.4,42.4,Uttar Pradesh
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,1956.0,2300.0,Uttar Pradesh
13, Institutional births (%),,,1.0,67.8,83.4,Uttar Pradesh
14, Births delivered by caesarean section (%),,,,9.4,57.7,Uttar Pradesh
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,20.2,23.0,51.1,69.6,Uttar Pradesh
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,84.5,94.4,Uttar Pradesh
17, Children under age 6 months exclusively breastfed (%),,,51.3,41.6,59.7,Uttar Pradesh
18, Children under 5 years who are stunted (heightforage),,60.7,52.4,46.3,39.7,Uttar Pradesh
19, Children under 5 years who are wasted (weightforheight),,16.9,19.5,17.9,17.3,Uttar Pradesh
20, Children under 3 years who are underweight (%),,48.1,41.6,39.5,32.1,Uttar Pradesh
21, Women who are overweight or obese (%),,7.3,11.1,16.5,21.3,Uttar Pradesh
22, Men who are overweight or obese (%),,19.9,,12.5,18.5,Uttar Pradesh
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,,1.0,51.0,45.9,Uttar Pradesh
24, Currently married women who usually participate in three household decisions (%),,,33.7,81.7,87.6,Uttar Pradesh
25, Women who worked in the last 12 months and were paid in cash (%),,,,16.6,15.5,Uttar Pradesh
26, Women owning a house and/or land (alone or jointly with others) (%),,,,34.2,51.9,Uttar Pradesh
27, Women having a bank or savings account that they themselves use (%),,,,54.6,75.4,Uttar Pradesh
28, Women having a mobile phone that they themselves use (%),,,,37.1,46.5,Uttar Pradesh
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,47.1,72.6,Uttar Pradesh
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,1.0,36.7,34.8,Uttar Pradesh
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.7,Uttar Pradesh
32, Women who use any kind of tobacco (%),,,,7.6,8.4,Uttar Pradesh
33, Men who use any kind of tobacco (%),,,,53.0,44.1,Uttar Pradesh
34, Women who consume alcohol (%),,,,0.2,0.3,Uttar Pradesh
35, Men who consume alcohol (%),,,,22.1,14.6,Uttar Pradesh
