,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),,25.9,23.0,13.8,9.8,Uttarakhand
1, Men age 25-29 years married before age 21 years (%),,,21.3,17.1,16.7,Uttarakhand
2, Total fertility rate (children per woman),,2.6,2.6,2.1,1.9,Uttarakhand
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,6.2,2.8,2.5,Uttarakhand
4, Infant mortality rate (IMR),,,,40.0,39.1,Uttarakhand
5, Under five mortality rate (U5MR),,,,47.0,45.6,Uttarakhand
6, Any modern method (%),,40.4,55.5,49.3,57.8,Uttarakhand
7, Female sterilization (%),,27.3,32.1,27.4,26.0,Uttarakhand
8, Male sterilization (%),,3.8,1.8,0.7,0.7,Uttarakhand
9, Total unmet need (%),,21.0,10.8,15.5,8.8,Uttarakhand
10, Unmet need for spacing (%),,10.5,4.4,5.2,3.2,Uttarakhand
11, Mothers who had at least 3 antenatal care visits for their last birth (%),,19.7,44.8,30.9,61.8,Uttarakhand
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,2618.0,3343.0,Uttarakhand
13, Institutional births (%),,,1.0,68.6,83.2,Uttarakhand
14, Births delivered by caesarean section (%),,,,13.1,53.3,Uttarakhand
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,40.9,60.0,57.6,80.8,Uttarakhand
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,91.0,95.3,Uttarakhand
17, Children under age 6 months exclusively breastfed (%),,,31.2,51.2,52.5,Uttarakhand
18, Children under 5 years who are stunted (heightforage),,52.5,39.6,33.5,27.0,Uttarakhand
19, Children under 5 years who are wasted (weightforheight),,9.0,18.2,19.5,13.2,Uttarakhand
20, Children under 3 years who are underweight (%),,36.3,31.7,26.6,21.0,Uttarakhand
21, Women who are overweight or obese (%),,9.2,16.0,20.4,29.7,Uttarakhand
22, Men who are overweight or obese (%),,18.3,,17.7,27.1,Uttarakhand
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,49.8,50.8,46.5,46.4,Uttarakhand
24, Currently married women who usually participate in three household decisions (%),,,36.0,89.8,91.0,Uttarakhand
25, Women who worked in the last 12 months and were paid in cash (%),,,,15.5,21.6,Uttarakhand
26, Women owning a house and/or land (alone or jointly with others) (%),,,,29.2,24.6,Uttarakhand
27, Women having a bank or savings account that they themselves use (%),,,,58.5,80.2,Uttarakhand
28, Women having a mobile phone that they themselves use (%),,,,55.4,60.9,Uttarakhand
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,69.9,91.2,Uttarakhand
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,27.8,12.7,15.1,Uttarakhand
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,0.3,Uttarakhand
32, Women who use any kind of tobacco (%),,,,2.9,4.6,Uttarakhand
33, Men who use any kind of tobacco (%),,,,43.7,33.7,Uttarakhand
34, Women who consume alcohol (%),,,,0.3,0.3,Uttarakhand
35, Men who consume alcohol (%),,,,35.2,25.5,Uttarakhand
