,INDICATORS,NHS1,NHS2,NHS3,NHS4,NHS5,States
0, Women age 20-24 years married before age 18 years (%),56.4,45.9,54.0,41.6,41.6,West Bengal
1, Men age 25-29 years married before age 21 years (%),,,26.9,17.3,20.0,West Bengal
2, Total fertility rate (children per woman),2.9,2.3,2.3,1.8,1.6,West Bengal
3, Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,25.3,18.3,16.4,West Bengal
4, Infant mortality rate (IMR),,,,28.0,22.0,West Bengal
5, Under five mortality rate (U5MR),,,,32.0,25.4,West Bengal
6, Any modern method (%),37.6,47.3,49.9,57.0,60.7,West Bengal
7, Female sterilization (%),26.5,32.0,32.2,29.3,29.4,West Bengal
8, Male sterilization (%),4.3,1.8,0.7,0.1,0.1,West Bengal
9, Total unmet need (%),17.4,11.8,8.0,7.5,7.0,West Bengal
10, Unmet need for spacing (%),9.4,6.3,4.0,3.0,3.0,West Bengal
11, Mothers who had at least 3 antenatal care visits for their last birth (%),50.3,57.4,62.4,76.4,75.8,West Bengal
12, Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,7919.0,2683.0,West Bengal
13, Institutional births (%),32.0,40.1,43.1,75.2,91.7,West Bengal
14, Births delivered by caesarean section (%),,,,23.8,72.4,West Bengal
15,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",34.2,43.8,64.3,84.4,87.8,West Bengal
16, 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,96.6,96.3,West Bengal
17, Children under age 6 months exclusively breastfed (%),,,58.6,52.3,53.3,West Bengal
18, Children under 5 years who are stunted (heightforage),,50.4,41.8,32.5,33.8,West Bengal
19, Children under 5 years who are wasted (weightforheight),,17.3,19.2,20.3,20.3,West Bengal
20, Children under 3 years who are underweight (%),53.2,45.3,37.6,31.6,32.2,West Bengal
21, Women who are overweight or obese (%),,8.6,12.5,19.9,22.7,West Bengal
22, Men who are overweight or obese (%),,,,14.2,16.2,West Bengal
23, Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,56.9,62.6,53.6,62.3,West Bengal
24, Currently married women who usually participate in three household decisions (%),,,23.9,89.9,88.9,West Bengal
25, Women who worked in the last 12 months and were paid in cash (%),,,,22.8,20.2,West Bengal
26, Women owning a house and/or land (alone or jointly with others) (%),,,,23.8,23.2,West Bengal
27, Women having a bank or savings account that they themselves use (%),,,,43.5,76.5,West Bengal
28, Women having a mobile phone that they themselves use (%),,,,41.8,50.1,West Bengal
29, Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,54.9,83.0,West Bengal
30, Evermarried women age 18-49 years who have ever experienced spousal violence,,,40.3,32.8,27.0,West Bengal
31, Young women age 18-29 years who experienced sexual violence by age 18,,,,,9.7,West Bengal
32, Women who use any kind of tobacco (%),,,,8.7,10.8,West Bengal
33, Men who use any kind of tobacco (%),,,,58.9,48.1,West Bengal
34, Women who consume alcohol (%),,,,0.8,1.1,West Bengal
35, Men who consume alcohol (%),,,,28.7,18.1,West Bengal
