INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",25.4,DD_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",23.0,DD_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.7,DD_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",4.5,DD_FactSheet
 Infant mortality rate (IMR),"
19.*
20",,DD_FactSheet
 Under five mortality rate (U5MR),"
20.*
",,DD_FactSheet
 Any modern method (%),"
22.*
23",31.6,DD_FactSheet
 Female sterilization (%),"
23.*
24",25.7,DD_FactSheet
 Male sterilization (%),"
24.*
25",0.0,DD_FactSheet
 Total unmet need (%),"
28.*
29",19.7,DD_FactSheet
 Unmet need for spacing (%),"
29.*
",11.0,DD_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",62.7,DD_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1581.0,DD_FactSheet
 Institutional births (%),"43.*
44",90.1,DD_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",15.8,DD_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",66.3,DD_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",72.2,DD_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",52.3,DD_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",23.4,DD_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",24.1,DD_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",26.7,DD_FactSheet
 Women who are overweight or obese (%),"
77.*
78",31.6,DD_FactSheet
 Men who are overweight or obese (%),"
78.*
",30.7,DD_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",,DD_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",86.7,DD_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",19.5,DD_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",27.0,DD_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",61.9,DD_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",60.6,DD_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",73.2,DD_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",26.6,DD_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,DD_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",0.5,DD_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",32.2,DD_FactSheet
 Women who consume alcohol (%),"
111.*
112",1.4,DD_FactSheet
 Men who consume alcohol (%),"
112.*
113",35.8,DD_FactSheet
