INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",14.3,DL_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",21.0,DL_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.8,DL_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.1,DL_FactSheet
 Infant mortality rate (IMR),"
19.*
20",31.0,DL_FactSheet
 Under five mortality rate (U5MR),"
20.*
",42.0,DL_FactSheet
 Any modern method (%),"
22.*
23",48.6,DL_FactSheet
 Female sterilization (%),"
23.*
24",19.8,DL_FactSheet
 Male sterilization (%),"
24.*
25",0.2,DL_FactSheet
 Total unmet need (%),"
28.*
29",15.0,DL_FactSheet
 Unmet need for spacing (%),"
29.*
",4.5,DL_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",67.9,DL_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",8518.0,DL_FactSheet
 Institutional births (%),"43.*
44",84.4,DL_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",26.7,DL_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",68.8,DL_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",92.9,DL_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",49.6,DL_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",31.9,DL_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",15.9,DL_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",27.0,DL_FactSheet
 Women who are overweight or obese (%),"
77.*
78",33.5,DL_FactSheet
 Men who are overweight or obese (%),"
78.*
",24.6,DL_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",46.1,DL_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",73.8,DL_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",21.1,DL_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",34.9,DL_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",64.5,DL_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",66.6,DL_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",90.7,DL_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",26.8,DL_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,DL_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",1.6,DL_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",30.4,DL_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.6,DL_FactSheet
 Men who consume alcohol (%),"
112.*
113",24.7,DL_FactSheet
