INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",27.5,DN_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",35.6,DN_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.3,DN_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",10.3,DN_FactSheet
 Infant mortality rate (IMR),"
19.*
20",,DN_FactSheet
 Under five mortality rate (U5MR),"
20.*
",,DN_FactSheet
 Any modern method (%),"
22.*
23",37.9,DN_FactSheet
 Female sterilization (%),"
23.*
24",31.7,DN_FactSheet
 Male sterilization (%),"
24.*
25",0.0,DN_FactSheet
 Total unmet need (%),"
28.*
29",19.3,DN_FactSheet
 Unmet need for spacing (%),"
29.*
",10.6,DN_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",75.6,DN_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",471.0,DN_FactSheet
 Institutional births (%),"43.*
44",88.0,DN_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",16.2,DN_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",43.2,DN_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",90.2,DN_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",72.7,DN_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",41.7,DN_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",27.6,DN_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",38.9,DN_FactSheet
 Women who are overweight or obese (%),"
77.*
78",19.1,DN_FactSheet
 Men who are overweight or obese (%),"
78.*
",22.9,DN_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",67.9,DN_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",78.5,DN_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",19.1,DN_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",21.8,DN_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",36.9,DN_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",36.9,DN_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",57.1,DN_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",33.2,DN_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,DN_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.1,DN_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",39.9,DN_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.0,DN_FactSheet
 Men who consume alcohol (%),"
112.*
113",33.9,DN_FactSheet
