INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),68.6,64.3,54.8,Andhra Pradesh
 Men age 25-29 years married before age 21 years (%),,,34.8,Andhra Pradesh
 Total fertility rate (children per woman),2.6,2.3,1.8,Andhra Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,18.1,Andhra Pradesh
 Infant mortality rate (IMR),,,,Andhra Pradesh
 Under five mortality rate (U5MR),,,,Andhra Pradesh
 Any modern method (%),47.0,58.9,67.0,Andhra Pradesh
 Female sterilization (%),38.5,52.7,62.9,Andhra Pradesh
 Male sterilization (%),6.7,4.3,2.9,Andhra Pradesh
 Total unmet need (%),10.4,7.7,4.7,Andhra Pradesh
 Unmet need for spacing (%),6.3,5.2,3.0,Andhra Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),75.3,80.2,86.0,Andhra Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Andhra Pradesh
 Institutional births (%),34.3,49.8,68.6,Andhra Pradesh
 Births delivered by caesarean section (%),,,,Andhra Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",45.4,58.7,46.0,Andhra Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Andhra Pradesh
 Children under age 6 months exclusively breastfed (%),,,62.7,Andhra Pradesh
 Children under 5 years who are stunted (heightforage),,47.2,38.4,Andhra Pradesh
 Children under 5 years who are wasted (weightforheight),,11.0,14.9,Andhra Pradesh
 Children under 3 years who are underweight (%),42.9,34.2,29.8,Andhra Pradesh
 Women who are overweight or obese (%),,12.0,17.7,Andhra Pradesh
 Men who are overweight or obese (%),,,17.6,Andhra Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,41.8,58.2,Andhra Pradesh
 Currently married women who usually participate in three household decisions (%),,,40.4,Andhra Pradesh
 Women who worked in the last 12 months and were paid in cash (%),,,,Andhra Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Andhra Pradesh
 Women having a bank or savings account that they themselves use (%),,,,Andhra Pradesh
 Women having a mobile phone that they themselves use (%),,,,Andhra Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Andhra Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,35.2,Andhra Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Andhra Pradesh
 Women who use any kind of tobacco (%),,,,Andhra Pradesh
 Men who use any kind of tobacco (%),,,,Andhra Pradesh
 Women who consume alcohol (%),,,,Andhra Pradesh
 Men who consume alcohol (%),,,,Andhra Pradesh
