INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),43.9,27.6,42.0,Arunachal Pradesh
 Men age 25-29 years married before age 21 years (%),,,30.6,Arunachal Pradesh
 Total fertility rate (children per woman),4.3,2.5,3.0,Arunachal Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,15.4,Arunachal Pradesh
 Infant mortality rate (IMR),,,,Arunachal Pradesh
 Under five mortality rate (U5MR),,,,Arunachal Pradesh
 Any modern method (%),19.3,32.8,37.3,Arunachal Pradesh
 Female sterilization (%),10.3,20.6,22.5,Arunachal Pradesh
 Male sterilization (%),0.4,0.1,0.1,Arunachal Pradesh
 Total unmet need (%),20.4,26.5,18.8,Arunachal Pradesh
 Unmet need for spacing (%),12.9,17.2,8.3,Arunachal Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),31.9,40.9,36.4,Arunachal Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Arunachal Pradesh
 Institutional births (%),20.1,31.2,231.7,Arunachal Pradesh
 Births delivered by caesarean section (%),,,,Arunachal Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",22.5,20.5,28.4,Arunachal Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Arunachal Pradesh
 Children under age 6 months exclusively breastfed (%),,,60.0,Arunachal Pradesh
 Children under 5 years who are stunted (heightforage),54.0,30.3,37.0,Arunachal Pradesh
 Children under 5 years who are wasted (weightforheight),15.5,10.3,17.0,Arunachal Pradesh
 Children under 3 years who are underweight (%),32.1,21.5,29.7,Arunachal Pradesh
 Women who are overweight or obese (%),,5.1,10.5,Arunachal Pradesh
 Men who are overweight or obese (%),,19.5,,Arunachal Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.2,,,Arunachal Pradesh
 Currently married women who usually participate in three household decisions (%),,,53.5,Arunachal Pradesh
 Women who worked in the last 12 months and were paid in cash (%),,,,Arunachal Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Arunachal Pradesh
 Women having a bank or savings account that they themselves use (%),,,,Arunachal Pradesh
 Women having a mobile phone that they themselves use (%),,,,Arunachal Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Arunachal Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,38.8,Arunachal Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Arunachal Pradesh
 Women who use any kind of tobacco (%),,,,Arunachal Pradesh
 Men who use any kind of tobacco (%),,,,Arunachal Pradesh
 Women who consume alcohol (%),,,,Arunachal Pradesh
 Men who consume alcohol (%),,,,Arunachal Pradesh
