INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,71.9,69.0,Bihar
 Men age 25-29 years married before age 21 years (%),,,43.0,Bihar
 Total fertility rate (children per woman),,3.7,4.0,Bihar
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,25.0,Bihar
 Infant mortality rate (IMR),,,,Bihar
 Under five mortality rate (U5MR),,,,Bihar
 Any modern method (%),,21.6,28.9,Bihar
 Female sterilization (%),,18.5,23.8,Bihar
 Male sterilization (%),,1.0,0.6,Bihar
 Total unmet need (%),,25.7,22.8,Bihar
 Unmet need for spacing (%),,12.5,12.1,Bihar
 Mothers who had at least 3 antenatal care visits for their last birth (%),,15.9,16.9,Bihar
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Bihar
 Institutional births (%),,14.8,222.0,Bihar
 Births delivered by caesarean section (%),,,,Bihar
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,11.6,32.8,Bihar
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Bihar
 Children under age 6 months exclusively breastfed (%),,,27.9,Bihar
 Children under 5 years who are stunted (heightforage),,58.4,50.1,Bihar
 Children under 5 years who are wasted (weightforheight),,25.4,32.6,Bihar
 Children under 3 years who are underweight (%),,52.2,54.9,Bihar
 Women who are overweight or obese (%),,3.9,5.3,Bihar
 Men who are overweight or obese (%),,20.1,,Bihar
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),46.4,68.9,,Bihar
 Currently married women who usually participate in three household decisions (%),,,32.7,Bihar
 Women who worked in the last 12 months and were paid in cash (%),,,,Bihar
 Women owning a house and/or land (alone or jointly with others) (%),,,,Bihar
 Women having a bank or savings account that they themselves use (%),,,,Bihar
 Women having a mobile phone that they themselves use (%),,,,Bihar
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Bihar
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,59.0,Bihar
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Bihar
 Women who use any kind of tobacco (%),,,,Bihar
 Men who use any kind of tobacco (%),,,,Bihar
 Women who consume alcohol (%),,,,Bihar
 Men who consume alcohol (%),,,,Bihar
