INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),28.7,19.8,18.0,Delhi
 Men age 25-29 years married before age 21 years (%),,,21.0,Delhi
 Total fertility rate (children per woman),3.0,2.4,,Delhi
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,,Delhi
 Infant mortality rate (IMR),,,,Delhi
 Under five mortality rate (U5MR),,,,Delhi
 Any modern method (%),54.6,56.3,,Delhi
 Female sterilization (%),20.0,26.3,,Delhi
 Male sterilization (%),3.2,2.3,,Delhi
 Total unmet need (%),15.4,13.4,,Delhi
 Unmet need for spacing (%),7.6,5.9,,Delhi
 Mothers who had at least 3 antenatal care visits for their last birth (%),72.2,68.9,,Delhi
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Delhi
 Institutional births (%),45.3,59.1,,Delhi
 Births delivered by caesarean section (%),,,,Delhi
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",57.8,69.8,,Delhi
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Delhi
 Children under age 6 months exclusively breastfed (%),,,,Delhi
 Children under 5 years who are stunted (heightforage),46.9,43.2,,Delhi
 Children under 5 years who are wasted (weightforheight),15.9,15.7,,Delhi
 Children under 3 years who are underweight (%),36.2,29.9,,Delhi
 Women who are overweight or obese (%),,33.8,,Delhi
 Men who are overweight or obese (%),,29.7,,Delhi
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,34.7,,Delhi
 Currently married women who usually participate in three household decisions (%),,,,Delhi
 Women who worked in the last 12 months and were paid in cash (%),,,,Delhi
 Women owning a house and/or land (alone or jointly with others) (%),,,,Delhi
 Women having a bank or savings account that they themselves use (%),,,,Delhi
 Women having a mobile phone that they themselves use (%),,,,Delhi
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Delhi
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Delhi
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Delhi
 Women who use any kind of tobacco (%),,,,Delhi
 Men who use any kind of tobacco (%),,,,Delhi
 Women who consume alcohol (%),,,,Delhi
 Men who consume alcohol (%),,,,Delhi
