INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),24.2,10.7,12.3,Himachal Pradesh
 Men age 25-29 years married before age 21 years (%),,,15.5,Himachal Pradesh
 Total fertility rate (children per woman),3.0,2.1,1.9,Himachal Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,3.1,Himachal Pradesh
 Infant mortality rate (IMR),,,,Himachal Pradesh
 Under five mortality rate (U5MR),,,,Himachal Pradesh
 Any modern method (%),54.4,60.8,71.0,Himachal Pradesh
 Female sterilization (%),32.6,45.1,49.0,Himachal Pradesh
 Male sterilization (%),13.2,7.3,6.3,Himachal Pradesh
 Total unmet need (%),14.9,8.6,7.2,Himachal Pradesh
 Unmet need for spacing (%),9.2,3.6,2.4,Himachal Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),41.0,61.6,62.6,Himachal Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Himachal Pradesh
 Institutional births (%),17.1,28.9,245.3,Himachal Pradesh
 Births delivered by caesarean section (%),,,,Himachal Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",63.2,83.4,74.2,Himachal Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Himachal Pradesh
 Children under age 6 months exclusively breastfed (%),,,27.1,Himachal Pradesh
 Children under 5 years who are stunted (heightforage),,48.8,34.3,Himachal Pradesh
 Children under 5 years who are wasted (weightforheight),,17.9,19.9,Himachal Pradesh
 Children under 3 years who are underweight (%),38.4,36.5,31.1,Himachal Pradesh
 Women who are overweight or obese (%),,13.1,17.3,Himachal Pradesh
 Men who are overweight or obese (%),,23.7,,Himachal Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),31.8,35.1,,Himachal Pradesh
 Currently married women who usually participate in three household decisions (%),,,39.2,Himachal Pradesh
 Women who worked in the last 12 months and were paid in cash (%),,,,Himachal Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Himachal Pradesh
 Women having a bank or savings account that they themselves use (%),,,,Himachal Pradesh
 Women having a mobile phone that they themselves use (%),,,,Himachal Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Himachal Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Himachal Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Himachal Pradesh
 Women who use any kind of tobacco (%),,,,Himachal Pradesh
 Men who use any kind of tobacco (%),,,,Himachal Pradesh
 Women who consume alcohol (%),,,,Himachal Pradesh
 Men who consume alcohol (%),,,,Himachal Pradesh
