INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,22.1,14.4,Jammu and Kashmir
 Men age 25-29 years married before age 21 years (%),,,15.3,Jammu and Kashmir
 Total fertility rate (children per woman),,2.7,2.4,Jammu and Kashmir
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,4.2,Jammu and Kashmir
 Infant mortality rate (IMR),,,,Jammu and Kashmir
 Under five mortality rate (U5MR),,,,Jammu and Kashmir
 Any modern method (%),,41.7,44.9,Jammu and Kashmir
 Female sterilization (%),,28.0,26.3,Jammu and Kashmir
 Male sterilization (%),,2.7,2.6,Jammu and Kashmir
 Total unmet need (%),,20.0,14.5,Jammu and Kashmir
 Unmet need for spacing (%),,7.4,5.8,Jammu and Kashmir
 Mothers who had at least 3 antenatal care visits for their last birth (%),,67.2,74.2,Jammu and Kashmir
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Jammu and Kashmir
 Institutional births (%),,35.7,254.3,Jammu and Kashmir
 Births delivered by caesarean section (%),,,,Jammu and Kashmir
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,56.7,66.7,Jammu and Kashmir
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Jammu and Kashmir
 Children under age 6 months exclusively breastfed (%),,,42.3,Jammu and Kashmir
 Children under 5 years who are stunted (heightforage),,44.6,33.1,Jammu and Kashmir
 Children under 5 years who are wasted (weightforheight),,14.8,18.1,Jammu and Kashmir
 Children under 3 years who are underweight (%),,29.2,24.0,Jammu and Kashmir
 Women who are overweight or obese (%),,13.8,22.7,Jammu and Kashmir
 Men who are overweight or obese (%),,18.2,,Jammu and Kashmir
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),56.3,44.0,,Jammu and Kashmir
 Currently married women who usually participate in three household decisions (%),,,25.2,Jammu and Kashmir
 Women who worked in the last 12 months and were paid in cash (%),,,,Jammu and Kashmir
 Women owning a house and/or land (alone or jointly with others) (%),,,,Jammu and Kashmir
 Women having a bank or savings account that they themselves use (%),,,,Jammu and Kashmir
 Women having a mobile phone that they themselves use (%),,,,Jammu and Kashmir
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Jammu and Kashmir
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,12.6,Jammu and Kashmir
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Jammu and Kashmir
 Women who use any kind of tobacco (%),,,,Jammu and Kashmir
 Men who use any kind of tobacco (%),,,,Jammu and Kashmir
 Women who consume alcohol (%),,,,Jammu and Kashmir
 Men who consume alcohol (%),,,,Jammu and Kashmir
