INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),51.2,46.3,41.8,Karnataka
 Men age 25-29 years married before age 21 years (%),,,14.9,Karnataka
 Total fertility rate (children per woman),2.9,2.1,2.1,Karnataka
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,17.0,Karnataka
 Infant mortality rate (IMR),,,,Karnataka
 Under five mortality rate (U5MR),,,,Karnataka
 Any modern method (%),47.6,56.5,62.5,Karnataka
 Female sterilization (%),41.2,51.5,57.4,Karnataka
 Male sterilization (%),1.5,0.7,0.2,Karnataka
 Total unmet need (%),18.2,11.5,9.6,Karnataka
 Unmet need for spacing (%),11.8,8.3,6.0,Karnataka
 Mothers who had at least 3 antenatal care visits for their last birth (%),73.5,72.4,79.3,Karnataka
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Karnataka
 Institutional births (%),38.4,51.1,67.0,Karnataka
 Births delivered by caesarean section (%),,,,Karnataka
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",52.2,60.0,55.0,Karnataka
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Karnataka
 Children under age 6 months exclusively breastfed (%),,,58.0,Karnataka
 Children under 5 years who are stunted (heightforage),47.6,41.9,42.4,Karnataka
 Children under 5 years who are wasted (weightforheight),24.2,25.1,18.9,Karnataka
 Children under 3 years who are underweight (%),46.4,38.6,33.3,Karnataka
 Women who are overweight or obese (%),,13.6,18.1,Karnataka
 Men who are overweight or obese (%),,,,Karnataka
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,48.6,60.4,Karnataka
 Currently married women who usually participate in three household decisions (%),,,35.2,Karnataka
 Women who worked in the last 12 months and were paid in cash (%),,,,Karnataka
 Women owning a house and/or land (alone or jointly with others) (%),,,,Karnataka
 Women having a bank or savings account that they themselves use (%),,,,Karnataka
 Women having a mobile phone that they themselves use (%),,,,Karnataka
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Karnataka
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Karnataka
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Karnataka
 Women who use any kind of tobacco (%),,,,Karnataka
 Men who use any kind of tobacco (%),,,,Karnataka
 Women who consume alcohol (%),,,,Karnataka
 Men who consume alcohol (%),,,,Karnataka
