INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),19.3,17.0,15.4,Kerala
 Men age 25-29 years married before age 21 years (%),,,2.9,Kerala
 Total fertility rate (children per woman),2.0,2.0,1.9,Kerala
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,5.8,Kerala
 Infant mortality rate (IMR),,,,Kerala
 Under five mortality rate (U5MR),,,,Kerala
 Any modern method (%),54.4,56.1,57.9,Kerala
 Female sterilization (%),41.8,48.5,48.7,Kerala
 Male sterilization (%),6.5,2.5,1.0,Kerala
 Total unmet need (%),11.7,11.7,8.9,Kerala
 Unmet need for spacing (%),7.2,6.9,6.0,Kerala
 Mothers who had at least 3 antenatal care visits for their last birth (%),95.4,98.6,93.9,Kerala
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Kerala
 Institutional births (%),88.9,92.9,99.5,Kerala
 Births delivered by caesarean section (%),,,,Kerala
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",54.4,79.7,75.3,Kerala
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Kerala
 Children under age 6 months exclusively breastfed (%),,,56.2,Kerala
 Children under 5 years who are stunted (heightforage),32.8,28.0,26.5,Kerala
 Children under 5 years who are wasted (weightforheight),13.7,13.0,15.6,Kerala
 Children under 3 years who are underweight (%),22.1,21.7,21.2,Kerala
 Women who are overweight or obese (%),,20.6,34.0,Kerala
 Men who are overweight or obese (%),,35.0,,Kerala
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,20.3,33.8,Kerala
 Currently married women who usually participate in three household decisions (%),,,47.2,Kerala
 Women who worked in the last 12 months and were paid in cash (%),,,,Kerala
 Women owning a house and/or land (alone or jointly with others) (%),,,,Kerala
 Women having a bank or savings account that they themselves use (%),,,,Kerala
 Women having a mobile phone that they themselves use (%),,,,Kerala
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Kerala
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,16.4,Kerala
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Kerala
 Women who use any kind of tobacco (%),,,,Kerala
 Men who use any kind of tobacco (%),,,,Kerala
 Women who consume alcohol (%),,,,Kerala
 Men who consume alcohol (%),,,,Kerala
