INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),14.3,9.9,12.9,Manipur
 Men age 25-29 years married before age 21 years (%),,,11.6,Manipur
 Total fertility rate (children per woman),2.8,3.0,2.8,Manipur
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,7.3,Manipur
 Infant mortality rate (IMR),,,,Manipur
 Under five mortality rate (U5MR),,,,Manipur
 Any modern method (%),24.1,25.9,23.6,Manipur
 Female sterilization (%),10.9,14.4,8.2,Manipur
 Male sterilization (%),2.9,1.1,0.5,Manipur
 Total unmet need (%),21.7,23.6,12.4,Manipur
 Unmet need for spacing (%),11.7,13.6,5.0,Manipur
 Mothers who had at least 3 antenatal care visits for their last birth (%),41.3,54.7,70.1,Manipur
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Manipur
 Institutional births (%),23.0,34.5,249.3,Manipur
 Births delivered by caesarean section (%),,,,Manipur
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",29.1,42.3,46.8,Manipur
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Manipur
 Children under age 6 months exclusively breastfed (%),,,61.7,Manipur
 Children under 5 years who are stunted (heightforage),32.0,38.5,29.0,Manipur
 Children under 5 years who are wasted (weightforheight),9.9,9.7,10.8,Manipur
 Children under 3 years who are underweight (%),19.1,20.1,19.5,Manipur
 Women who are overweight or obese (%),,10.8,17.6,Manipur
 Men who are overweight or obese (%),,,,Manipur
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,,,Manipur
 Currently married women who usually participate in three household decisions (%),,,69.4,Manipur
 Women who worked in the last 12 months and were paid in cash (%),,,,Manipur
 Women owning a house and/or land (alone or jointly with others) (%),,,,Manipur
 Women having a bank or savings account that they themselves use (%),,,,Manipur
 Women having a mobile phone that they themselves use (%),,,,Manipur
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Manipur
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,43.8,Manipur
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Manipur
 Women who use any kind of tobacco (%),,,,Manipur
 Men who use any kind of tobacco (%),,,,Manipur
 Women who consume alcohol (%),,,,Manipur
 Men who consume alcohol (%),,,,Manipur
