INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),28.1,25.5,24.6,Meghalaya
 Men age 25-29 years married before age 21 years (%),,,27.1,Meghalaya
 Total fertility rate (children per woman),3.7,4.6,3.8,Meghalaya
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,8.3,Meghalaya
 Infant mortality rate (IMR),,,,Meghalaya
 Under five mortality rate (U5MR),,,,Meghalaya
 Any modern method (%),15.1,15.5,18.5,Meghalaya
 Female sterilization (%),9.4,6.5,9.5,Meghalaya
 Male sterilization (%),0.6,0.0,0.1,Meghalaya
 Total unmet need (%),25.1,35.5,35.0,Meghalaya
 Unmet need for spacing (%),20.6,23.4,23.2,Meghalaya
 Mothers who had at least 3 antenatal care visits for their last birth (%),41.4,32.0,53.4,Meghalaya
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Meghalaya
 Institutional births (%),31.0,17.3,229.7,Meghalaya
 Births delivered by caesarean section (%),,,,Meghalaya
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",9.7,14.3,32.9,Meghalaya
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Meghalaya
 Children under age 6 months exclusively breastfed (%),,,26.3,Meghalaya
 Children under 5 years who are stunted (heightforage),52.6,48.8,47.7,Meghalaya
 Children under 5 years who are wasted (weightforheight),18.9,14.9,31.8,Meghalaya
 Children under 3 years who are underweight (%),36.9,28.6,42.9,Meghalaya
 Women who are overweight or obese (%),,5.8,7.1,Meghalaya
 Men who are overweight or obese (%),,16.2,,Meghalaya
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),58.6,,,Meghalaya
 Currently married women who usually participate in three household decisions (%),,,77.3,Meghalaya
 Women who worked in the last 12 months and were paid in cash (%),,,,Meghalaya
 Women owning a house and/or land (alone or jointly with others) (%),,,,Meghalaya
 Women having a bank or savings account that they themselves use (%),,,,Meghalaya
 Women having a mobile phone that they themselves use (%),,,,Meghalaya
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Meghalaya
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,12.8,Meghalaya
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Meghalaya
 Women who use any kind of tobacco (%),,,,Meghalaya
 Men who use any kind of tobacco (%),,,,Meghalaya
 Women who consume alcohol (%),,,,Meghalaya
 Men who consume alcohol (%),,,,Meghalaya
