INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),45.5,37.6,37.2,Orissa
 Men age 25-29 years married before age 21 years (%),,,22.2,Orissa
 Total fertility rate (children per woman),2.9,2.5,2.4,Orissa
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.4,Orissa
 Infant mortality rate (IMR),,,,Orissa
 Under five mortality rate (U5MR),,,,Orissa
 Any modern method (%),34.7,40.3,44.7,Orissa
 Female sterilization (%),28.3,33.9,33.1,Orissa
 Male sterilization (%),3.4,1.7,1.0,Orissa
 Total unmet need (%),22.4,15.5,14.9,Orissa
 Unmet need for spacing (%),12.7,8.7,6.8,Orissa
 Mothers who had at least 3 antenatal care visits for their last birth (%),34.9,48.0,60.9,Orissa
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Orissa
 Institutional births (%),14.1,22.6,238.8,Orissa
 Births delivered by caesarean section (%),,,,Orissa
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",36.1,43.7,51.8,Orissa
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Orissa
 Children under age 6 months exclusively breastfed (%),,,50.2,Orissa
 Children under 5 years who are stunted (heightforage),50.8,49.1,43.9,Orissa
 Children under 5 years who are wasted (weightforheight),28.2,29.7,23.7,Orissa
 Children under 3 years who are underweight (%),50.0,50.3,39.5,Orissa
 Women who are overweight or obese (%),,4.4,7.6,Orissa
 Men who are overweight or obese (%),,21.5,,Orissa
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),60.5,53.1,,Orissa
 Currently married women who usually participate in three household decisions (%),,,41.8,Orissa
 Women who worked in the last 12 months and were paid in cash (%),,,,Orissa
 Women owning a house and/or land (alone or jointly with others) (%),,,,Orissa
 Women having a bank or savings account that they themselves use (%),,,,Orissa
 Women having a mobile phone that they themselves use (%),,,,Orissa
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Orissa
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,38.4,Orissa
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Orissa
 Women who use any kind of tobacco (%),,,,Orissa
 Men who use any kind of tobacco (%),,,,Orissa
 Women who consume alcohol (%),,,,Orissa
 Men who consume alcohol (%),,,,Orissa
