INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,22.3,30.1,Sikkim
 Men age 25-29 years married before age 21 years (%),,,24.0,Sikkim
 Total fertility rate (children per woman),,2.8,2.0,Sikkim
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.0,Sikkim
 Infant mortality rate (IMR),,,,Sikkim
 Under five mortality rate (U5MR),,,,Sikkim
 Any modern method (%),,41.4,48.7,Sikkim
 Female sterilization (%),,22.4,21.2,Sikkim
 Male sterilization (%),,2.4,4.5,Sikkim
 Total unmet need (%),,23.1,16.9,Sikkim
 Unmet need for spacing (%),,9.9,5.6,Sikkim
 Mothers who had at least 3 antenatal care visits for their last birth (%),,44.1,69.4,Sikkim
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Sikkim
 Institutional births (%),,31.5,49.0,Sikkim
 Births delivered by caesarean section (%),,,,Sikkim
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,47.4,69.6,Sikkim
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Sikkim
 Children under age 6 months exclusively breastfed (%),,,37.2,Sikkim
 Children under 5 years who are stunted (heightforage),,35.7,31.8,Sikkim
 Children under 5 years who are wasted (weightforheight),,6.5,12.8,Sikkim
 Children under 3 years who are underweight (%),,15.5,17.3,Sikkim
 Women who are overweight or obese (%),,15.7,19.5,Sikkim
 Men who are overweight or obese (%),,28.5,,Sikkim
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,47.6,62.1,Sikkim
 Currently married women who usually participate in three household decisions (%),,,58.7,Sikkim
 Women who worked in the last 12 months and were paid in cash (%),,,,Sikkim
 Women owning a house and/or land (alone or jointly with others) (%),,,,Sikkim
 Women having a bank or savings account that they themselves use (%),,,,Sikkim
 Women having a mobile phone that they themselves use (%),,,,Sikkim
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Sikkim
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,16.3,Sikkim
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Sikkim
 Women who use any kind of tobacco (%),,,,Sikkim
 Men who use any kind of tobacco (%),,,,Sikkim
 Women who consume alcohol (%),,,,Sikkim
 Men who consume alcohol (%),,,,Sikkim
