INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,25.9,23.0,Uttarakhand
 Men age 25-29 years married before age 21 years (%),,,21.3,Uttarakhand
 Total fertility rate (children per woman),,2.6,2.6,Uttarakhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,6.2,Uttarakhand
 Infant mortality rate (IMR),,,,Uttarakhand
 Under five mortality rate (U5MR),,,,Uttarakhand
 Any modern method (%),,40.4,55.5,Uttarakhand
 Female sterilization (%),,27.3,32.1,Uttarakhand
 Male sterilization (%),,3.8,1.8,Uttarakhand
 Total unmet need (%),,21.0,10.8,Uttarakhand
 Unmet need for spacing (%),,10.5,4.4,Uttarakhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),,19.7,44.8,Uttarakhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Uttarakhand
 Institutional births (%),,,1.0,Uttarakhand
 Births delivered by caesarean section (%),,,,Uttarakhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,40.9,60.0,Uttarakhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Uttarakhand
 Children under age 6 months exclusively breastfed (%),,,31.2,Uttarakhand
 Children under 5 years who are stunted (heightforage),,52.5,39.6,Uttarakhand
 Children under 5 years who are wasted (weightforheight),,9.0,18.2,Uttarakhand
 Children under 3 years who are underweight (%),,36.3,31.7,Uttarakhand
 Women who are overweight or obese (%),,9.2,16.0,Uttarakhand
 Men who are overweight or obese (%),,18.3,,Uttarakhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.8,41.5,,Uttarakhand
 Currently married women who usually participate in three household decisions (%),,,36.0,Uttarakhand
 Women who worked in the last 12 months and were paid in cash (%),,,,Uttarakhand
 Women owning a house and/or land (alone or jointly with others) (%),,,,Uttarakhand
 Women having a bank or savings account that they themselves use (%),,,,Uttarakhand
 Women having a mobile phone that they themselves use (%),,,,Uttarakhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Uttarakhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,1.0,Uttarakhand
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Uttarakhand
 Women who use any kind of tobacco (%),,,,Uttarakhand
 Men who use any kind of tobacco (%),,,,Uttarakhand
 Women who consume alcohol (%),,,,Uttarakhand
 Men who consume alcohol (%),,,,Uttarakhand
