INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),56.4,45.9,54.0,West Bengal
 Men age 25-29 years married before age 21 years (%),,,26.9,West Bengal
 Total fertility rate (children per woman),2.9,2.3,2.3,West Bengal
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,25.3,West Bengal
 Infant mortality rate (IMR),,,,West Bengal
 Under five mortality rate (U5MR),,,,West Bengal
 Any modern method (%),37.6,47.3,49.9,West Bengal
 Female sterilization (%),26.5,32.0,32.2,West Bengal
 Male sterilization (%),4.3,1.8,0.7,West Bengal
 Total unmet need (%),17.4,11.8,8.0,West Bengal
 Unmet need for spacing (%),9.4,6.3,4.0,West Bengal
 Mothers who had at least 3 antenatal care visits for their last birth (%),50.3,57.4,62.4,West Bengal
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,West Bengal
 Institutional births (%),32.0,40.1,243.1,West Bengal
 Births delivered by caesarean section (%),,,,West Bengal
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",34.2,43.8,64.3,West Bengal
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,West Bengal
 Children under age 6 months exclusively breastfed (%),,,58.6,West Bengal
 Children under 5 years who are stunted (heightforage),,50.4,41.8,West Bengal
 Children under 5 years who are wasted (weightforheight),,17.3,19.2,West Bengal
 Children under 3 years who are underweight (%),53.2,45.3,37.6,West Bengal
 Women who are overweight or obese (%),,8.6,12.5,West Bengal
 Men who are overweight or obese (%),,,,West Bengal
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,,,West Bengal
 Currently married women who usually participate in three household decisions (%),,,23.9,West Bengal
 Women who worked in the last 12 months and were paid in cash (%),,,,West Bengal
 Women owning a house and/or land (alone or jointly with others) (%),,,,West Bengal
 Women having a bank or savings account that they themselves use (%),,,,West Bengal
 Women having a mobile phone that they themselves use (%),,,,West Bengal
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,West Bengal
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,40.3,West Bengal
 Young women age 18-29 years who experienced sexual violence by age 18,,,,West Bengal
 Women who use any kind of tobacco (%),,,,West Bengal
 Men who use any kind of tobacco (%),,,,West Bengal
 Women who consume alcohol (%),,,,West Bengal
 Men who consume alcohol (%),,,,West Bengal
