INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",30.8,AS_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",15.0,AS_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.2,AS_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",13.6,AS_FactSheet
 Infant mortality rate (IMR),"
19.*
20",48.0,AS_FactSheet
 Under five mortality rate (U5MR),"
20.*
",56.0,AS_FactSheet
 Any modern method (%),"
22.*
23",37.0,AS_FactSheet
 Female sterilization (%),"
23.*
24",9.5,AS_FactSheet
 Male sterilization (%),"
24.*
25",0.1,AS_FactSheet
 Total unmet need (%),"
28.*
29",14.2,AS_FactSheet
 Unmet need for spacing (%),"
29.*
",5.8,AS_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",46.4,AS_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3821.0,AS_FactSheet
 Institutional births (%),"43.*
44",70.6,AS_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",13.4,AS_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",47.1,AS_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",93.3,AS_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",63.5,AS_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",36.4,AS_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",17.0,AS_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",29.8,AS_FactSheet
 Women who are overweight or obese (%),"
77.*
78",13.2,AS_FactSheet
 Men who are overweight or obese (%),"
78.*
",12.9,AS_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",44.8,AS_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",87.4,AS_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",17.0,AS_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",52.3,AS_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",45.4,AS_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",46.0,AS_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",44.8,AS_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",24.5,AS_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,AS_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",19.7,AS_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",63.9,AS_FactSheet
 Women who consume alcohol (%),"
111.*
112",6.9,AS_FactSheet
 Men who consume alcohol (%),"
112.*
113",35.6,AS_FactSheet
