INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",42.5,BR_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",35.3,BR_FactSheet
 Total fertility rate (children per woman),"
17.*
18",3.4,BR_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",12.2,BR_FactSheet
 Infant mortality rate (IMR),"
19.*
20",48.0,BR_FactSheet
 Under five mortality rate (U5MR),"
20.*
",58.0,BR_FactSheet
 Any modern method (%),"
22.*
23",23.3,BR_FactSheet
 Female sterilization (%),"
23.*
24",20.7,BR_FactSheet
 Male sterilization (%),"
24.*
25",0.0,BR_FactSheet
 Total unmet need (%),"
28.*
29",21.2,BR_FactSheet
 Unmet need for spacing (%),"
29.*
",9.4,BR_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",14.4,BR_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1784.0,BR_FactSheet
 Institutional births (%),"43.*
44",63.8,BR_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",6.2,BR_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",61.7,BR_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",95.5,BR_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",53.4,BR_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",48.3,BR_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",20.8,BR_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",43.9,BR_FactSheet
 Women who are overweight or obese (%),"
77.*
78",11.7,BR_FactSheet
 Men who are overweight or obese (%),"
78.*
",12.6,BR_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",58.3,BR_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",75.2,BR_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",12.5,BR_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",58.8,BR_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",26.4,BR_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",40.9,BR_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",31.0,BR_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",43.2,BR_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,BR_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.8,BR_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",50.1,BR_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.2,BR_FactSheet
 Men who consume alcohol (%),"
112.*
113",28.9,BR_FactSheet
