INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",19.4,HR_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",23.9,HR_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.1,HR_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",5.8,HR_FactSheet
 Infant mortality rate (IMR),"
19.*
20",33.0,HR_FactSheet
 Under five mortality rate (U5MR),"
20.*
",41.0,HR_FactSheet
 Any modern method (%),"
22.*
23",59.4,HR_FactSheet
 Female sterilization (%),"
23.*
24",38.1,HR_FactSheet
 Male sterilization (%),"
24.*
25",0.6,HR_FactSheet
 Total unmet need (%),"
28.*
29",9.3,HR_FactSheet
 Unmet need for spacing (%),"
29.*
",3.8,HR_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",45.1,HR_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1569.0,HR_FactSheet
 Institutional births (%),"43.*
44",80.4,HR_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",11.7,HR_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",62.2,HR_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",94.8,HR_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",50.3,HR_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",34.0,HR_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",21.2,HR_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",29.4,HR_FactSheet
 Women who are overweight or obese (%),"
77.*
78",21.0,HR_FactSheet
 Men who are overweight or obese (%),"
78.*
",20.0,HR_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",55.0,HR_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",76.7,HR_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",17.6,HR_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",35.8,HR_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",45.6,HR_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",50.5,HR_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",78.3,HR_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",32.0,HR_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,HR_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",1.6,HR_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",35.8,HR_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.1,HR_FactSheet
 Men who consume alcohol (%),"
112.*
113",24.5,HR_FactSheet
