INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",37.9,JH_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",30.5,JH_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.6,JH_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",12.0,JH_FactSheet
 Infant mortality rate (IMR),"
19.*
20",44.0,JH_FactSheet
 Under five mortality rate (U5MR),"
20.*
",54.0,JH_FactSheet
 Any modern method (%),"
22.*
23",37.5,JH_FactSheet
 Female sterilization (%),"
23.*
24",31.1,JH_FactSheet
 Male sterilization (%),"
24.*
25",0.2,JH_FactSheet
 Total unmet need (%),"
28.*
29",18.4,JH_FactSheet
 Unmet need for spacing (%),"
29.*
",9.0,JH_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",30.3,JH_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1476.0,JH_FactSheet
 Institutional births (%),"43.*
44",61.9,JH_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",9.9,JH_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",61.9,JH_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",95.3,JH_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",64.8,JH_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",45.3,JH_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",29.0,JH_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",47.8,JH_FactSheet
 Women who are overweight or obese (%),"
77.*
78",10.3,JH_FactSheet
 Men who are overweight or obese (%),"
78.*
",11.1,JH_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",62.6,JH_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",86.6,JH_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",24.8,JH_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",49.7,JH_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",45.1,JH_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",35.2,JH_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",49.6,JH_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",34.0,JH_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,JH_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",5.8,JH_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",48.6,JH_FactSheet
 Women who consume alcohol (%),"
111.*
112",4.1,JH_FactSheet
 Men who consume alcohol (%),"
112.*
113",39.3,JH_FactSheet
