INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",8.7,JK_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",10.5,JK_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.0,JK_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.9,JK_FactSheet
 Infant mortality rate (IMR),"
19.*
20",32.0,JK_FactSheet
 Under five mortality rate (U5MR),"
20.*
",38.0,JK_FactSheet
 Any modern method (%),"
22.*
23",46.1,JK_FactSheet
 Female sterilization (%),"
23.*
24",24.4,JK_FactSheet
 Male sterilization (%),"
24.*
25",0.4,JK_FactSheet
 Total unmet need (%),"
28.*
29",12.3,JK_FactSheet
 Unmet need for spacing (%),"
29.*
",5.8,JK_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",81.3,JK_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4192.0,JK_FactSheet
 Institutional births (%),"43.*
44",85.6,JK_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",33.1,JK_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",75.1,JK_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",97.5,JK_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",65.4,JK_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",27.4,JK_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",12.1,JK_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",16.6,JK_FactSheet
 Women who are overweight or obese (%),"
77.*
78",29.1,JK_FactSheet
 Men who are overweight or obese (%),"
78.*
",20.5,JK_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",47.5,JK_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",84.0,JK_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",12.4,JK_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",33.3,JK_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",60.3,JK_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",54.2,JK_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",66.5,JK_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",9.4,JK_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,JK_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.8,JK_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",38.2,JK_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.1,JK_FactSheet
 Men who consume alcohol (%),"
112.*
113",10.5,JK_FactSheet
