INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",21.4,KA_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",9.1,KA_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.8,KA_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.8,KA_FactSheet
 Infant mortality rate (IMR),"
19.*
20",27.0,KA_FactSheet
 Under five mortality rate (U5MR),"
20.*
",31.0,KA_FactSheet
 Any modern method (%),"
22.*
23",51.3,KA_FactSheet
 Female sterilization (%),"
23.*
24",48.6,KA_FactSheet
 Male sterilization (%),"
24.*
25",0.1,KA_FactSheet
 Total unmet need (%),"
28.*
29",10.4,KA_FactSheet
 Unmet need for spacing (%),"
29.*
",6.0,KA_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",70.1,KA_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4824.0,KA_FactSheet
 Institutional births (%),"43.*
44",94.0,KA_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",23.6,KA_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",62.6,KA_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",88.2,KA_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",54.2,KA_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",36.2,KA_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",26.1,KA_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",35.2,KA_FactSheet
 Women who are overweight or obese (%),"
77.*
78",23.3,KA_FactSheet
 Men who are overweight or obese (%),"
78.*
",22.1,KA_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",45.4,KA_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",80.4,KA_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.1,KA_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",51.8,KA_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",59.4,KA_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",47.1,KA_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",70.3,KA_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",20.5,KA_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,KA_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",4.2,KA_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",34.3,KA_FactSheet
 Women who consume alcohol (%),"
111.*
112",1.0,KA_FactSheet
 Men who consume alcohol (%),"
112.*
113",29.3,KA_FactSheet
