INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",26.3,MH_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",11.4,MH_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.9,MH_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",8.3,MH_FactSheet
 Infant mortality rate (IMR),"
19.*
20",24.0,MH_FactSheet
 Under five mortality rate (U5MR),"
20.*
",29.0,MH_FactSheet
 Any modern method (%),"
22.*
23",62.6,MH_FactSheet
 Female sterilization (%),"
23.*
24",50.7,MH_FactSheet
 Male sterilization (%),"
24.*
25",0.4,MH_FactSheet
 Total unmet need (%),"
28.*
29",9.7,MH_FactSheet
 Unmet need for spacing (%),"
29.*
",4.3,MH_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",72.2,MH_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3578.0,MH_FactSheet
 Institutional births (%),"43.*
44",90.3,MH_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",20.1,MH_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",56.2,MH_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",86.2,MH_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",56.6,MH_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",34.4,MH_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",25.6,MH_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",36.0,MH_FactSheet
 Women who are overweight or obese (%),"
77.*
78",23.4,MH_FactSheet
 Men who are overweight or obese (%),"
78.*
",23.8,MH_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",49.3,MH_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",89.3,MH_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",28.9,MH_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",34.3,MH_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",45.3,MH_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",45.6,MH_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",66.1,MH_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",21.4,MH_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,MH_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",5.8,MH_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",36.5,MH_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.2,MH_FactSheet
 Men who consume alcohol (%),"
112.*
113",20.5,MH_FactSheet
