INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",32.4,MP_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",31.2,MP_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.3,MP_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.3,MP_FactSheet
 Infant mortality rate (IMR),"
19.*
20",51.0,MP_FactSheet
 Under five mortality rate (U5MR),"
20.*
",65.0,MP_FactSheet
 Any modern method (%),"
22.*
23",49.6,MP_FactSheet
 Female sterilization (%),"
23.*
24",42.2,MP_FactSheet
 Male sterilization (%),"
24.*
25",0.5,MP_FactSheet
 Total unmet need (%),"
28.*
29",12.1,MP_FactSheet
 Unmet need for spacing (%),"
29.*
",5.7,MP_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",35.7,MP_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1481.0,MP_FactSheet
 Institutional births (%),"43.*
44",80.8,MP_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",8.6,MP_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",53.6,MP_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",95.7,MP_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",58.2,MP_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",42.0,MP_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",25.8,MP_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",42.8,MP_FactSheet
 Women who are overweight or obese (%),"
77.*
78",13.6,MP_FactSheet
 Men who are overweight or obese (%),"
78.*
",10.9,MP_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",54.6,MP_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",82.8,MP_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.9,MP_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",43.5,MP_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",37.3,MP_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",28.7,MP_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",37.6,MP_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",33.0,MP_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,MP_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",10.4,MP_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",59.5,MP_FactSheet
 Women who consume alcohol (%),"
111.*
112",1.6,MP_FactSheet
 Men who consume alcohol (%),"
112.*
113",29.6,MP_FactSheet
