INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",10.9,MZ_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",14.3,MZ_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.3,MZ_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.2,MZ_FactSheet
 Infant mortality rate (IMR),"
19.*
20",40.0,MZ_FactSheet
 Under five mortality rate (U5MR),"
20.*
",46.0,MZ_FactSheet
 Any modern method (%),"
22.*
23",35.2,MZ_FactSheet
 Female sterilization (%),"
23.*
24",17.4,MZ_FactSheet
 Male sterilization (%),"
24.*
25",0.0,MZ_FactSheet
 Total unmet need (%),"
28.*
29",20.0,MZ_FactSheet
 Unmet need for spacing (%),"
29.*
",12.4,MZ_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",61.4,MZ_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4298.0,MZ_FactSheet
 Institutional births (%),"43.*
44",79.7,MZ_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",12.7,MZ_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",50.7,MZ_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",92.4,MZ_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",61.1,MZ_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.1,MZ_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",6.1,MZ_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",12.0,MZ_FactSheet
 Women who are overweight or obese (%),"
77.*
78",21.0,MZ_FactSheet
 Men who are overweight or obese (%),"
78.*
",20.9,MZ_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",27.0,MZ_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",96.0,MZ_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.4,MZ_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",19.6,MZ_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",57.1,MZ_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",77.0,MZ_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",93.4,MZ_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",17.0,MZ_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,MZ_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",59.5,MZ_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",80.5,MZ_FactSheet
 Women who consume alcohol (%),"
111.*
112",5.0,MZ_FactSheet
 Men who consume alcohol (%),"
112.*
113",49.5,MZ_FactSheet
