INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",7.6,PB_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",11.1,PB_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.6,PB_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.6,PB_FactSheet
 Infant mortality rate (IMR),"
19.*
20",29.0,PB_FactSheet
 Under five mortality rate (U5MR),"
20.*
",33.0,PB_FactSheet
 Any modern method (%),"
22.*
23",66.3,PB_FactSheet
 Female sterilization (%),"
23.*
24",37.5,PB_FactSheet
 Male sterilization (%),"
24.*
25",0.6,PB_FactSheet
 Total unmet need (%),"
28.*
29",6.2,PB_FactSheet
 Unmet need for spacing (%),"
29.*
",2.4,PB_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",68.5,PB_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1890.0,PB_FactSheet
 Institutional births (%),"43.*
44",90.5,PB_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",24.6,PB_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",89.1,PB_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",89.0,PB_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",53.0,PB_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",25.7,PB_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",15.6,PB_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",21.6,PB_FactSheet
 Women who are overweight or obese (%),"
77.*
78",31.3,PB_FactSheet
 Men who are overweight or obese (%),"
78.*
",27.8,PB_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",42.0,PB_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",90.2,PB_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",18.5,PB_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",32.1,PB_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",58.8,PB_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",57.2,PB_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",84.4,PB_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",20.5,PB_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,PB_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",0.1,PB_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",19.2,PB_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.1,PB_FactSheet
 Men who consume alcohol (%),"
112.*
113",34.0,PB_FactSheet
