INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",9.7,PY_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",5.2,PY_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.7,PY_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",3.7,PY_FactSheet
 Infant mortality rate (IMR),"
19.*
20",16.0,PY_FactSheet
 Under five mortality rate (U5MR),"
20.*
",17.0,PY_FactSheet
 Any modern method (%),"
22.*
23",61.8,PY_FactSheet
 Female sterilization (%),"
23.*
24",58.0,PY_FactSheet
 Male sterilization (%),"
24.*
25",0.0,PY_FactSheet
 Total unmet need (%),"
28.*
29",8.0,PY_FactSheet
 Unmet need for spacing (%),"
29.*
",4.7,PY_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",87.7,PY_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",2121.0,PY_FactSheet
 Institutional births (%),"43.*
44",99.9,PY_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",34.0,PY_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",91.4,PY_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",90.3,PY_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",47.6,PY_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",24.0,PY_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",23.8,PY_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",22.7,PY_FactSheet
 Women who are overweight or obese (%),"
77.*
78",36.9,PY_FactSheet
 Men who are overweight or obese (%),"
78.*
",37.2,PY_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",27.8,PY_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",85.1,PY_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",21.2,PY_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",40.3,PY_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",68.2,PY_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",67.2,PY_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",96.9,PY_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",34.6,PY_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,PY_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",1.0,PY_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",14.4,PY_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.6,PY_FactSheet
 Men who consume alcohol (%),"
112.*
113",41.0,PY_FactSheet
