INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",35.4,RJ_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",35.7,RJ_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.4,RJ_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",6.3,RJ_FactSheet
 Infant mortality rate (IMR),"
19.*
20",41.0,RJ_FactSheet
 Under five mortality rate (U5MR),"
20.*
",51.0,RJ_FactSheet
 Any modern method (%),"
22.*
23",53.5,RJ_FactSheet
 Female sterilization (%),"
23.*
24",40.7,RJ_FactSheet
 Male sterilization (%),"
24.*
25",0.2,RJ_FactSheet
 Total unmet need (%),"
28.*
29",12.3,RJ_FactSheet
 Unmet need for spacing (%),"
29.*
",5.7,RJ_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",38.5,RJ_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3052.0,RJ_FactSheet
 Institutional births (%),"43.*
44",84.0,RJ_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",8.6,RJ_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",54.8,RJ_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",94.4,RJ_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",58.2,RJ_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",39.1,RJ_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",23.0,RJ_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",36.7,RJ_FactSheet
 Women who are overweight or obese (%),"
77.*
78",14.1,RJ_FactSheet
 Men who are overweight or obese (%),"
78.*
",13.2,RJ_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",46.6,RJ_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",81.7,RJ_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",18.6,RJ_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",24.1,RJ_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",58.2,RJ_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",41.4,RJ_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",55.2,RJ_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",25.1,RJ_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,RJ_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",6.3,RJ_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",46.9,RJ_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.1,RJ_FactSheet
 Men who consume alcohol (%),"
112.*
113",15.9,RJ_FactSheet
