INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",26.2,TG_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",17.8,TG_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.8,TG_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",10.6,TG_FactSheet
 Infant mortality rate (IMR),"
19.*
20",28.0,TG_FactSheet
 Under five mortality rate (U5MR),"
20.*
",32.0,TG_FactSheet
 Any modern method (%),"
22.*
23",57.0,TG_FactSheet
 Female sterilization (%),"
23.*
24",54.2,TG_FactSheet
 Male sterilization (%),"
24.*
25",1.6,TG_FactSheet
 Total unmet need (%),"
28.*
29",7.4,TG_FactSheet
 Unmet need for spacing (%),"
29.*
",3.8,TG_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",74.9,TG_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4218.0,TG_FactSheet
 Institutional births (%),"43.*
44",91.5,TG_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",57.7,TG_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",67.5,TG_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",83.6,TG_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",67.0,TG_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.0,TG_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",18.1,TG_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",28.4,TG_FactSheet
 Women who are overweight or obese (%),"
77.*
78",28.6,TG_FactSheet
 Men who are overweight or obese (%),"
78.*
",24.2,TG_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",48.2,TG_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",81.0,TG_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",44.7,TG_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",50.3,TG_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",59.5,TG_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",47.4,TG_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",76.6,TG_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",43.1,TG_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,TG_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.8,TG_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",28.2,TG_FactSheet
 Women who consume alcohol (%),"
111.*
112",8.7,TG_FactSheet
 Men who consume alcohol (%),"
112.*
113",53.8,TG_FactSheet
