INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",16.3,TN_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",9.0,TN_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.7,TN_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",5.0,TN_FactSheet
 Infant mortality rate (IMR),"
19.*
20",20.0,TN_FactSheet
 Under five mortality rate (U5MR),"
20.*
",27.0,TN_FactSheet
 Any modern method (%),"
22.*
23",52.6,TN_FactSheet
 Female sterilization (%),"
23.*
24",49.4,TN_FactSheet
 Male sterilization (%),"
24.*
25",0.0,TN_FactSheet
 Total unmet need (%),"
28.*
29",10.1,TN_FactSheet
 Unmet need for spacing (%),"
29.*
",4.8,TN_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",81.1,TN_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",2609.0,TN_FactSheet
 Institutional births (%),"43.*
44",98.9,TN_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",34.1,TN_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",69.7,TN_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",86.1,TN_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",48.3,TN_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",27.1,TN_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",19.7,TN_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",23.8,TN_FactSheet
 Women who are overweight or obese (%),"
77.*
78",30.9,TN_FactSheet
 Men who are overweight or obese (%),"
78.*
",28.2,TN_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",44.4,TN_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",84.0,TN_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",30.5,TN_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",36.2,TN_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",77.0,TN_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",62.0,TN_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",91.4,TN_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",40.6,TN_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,TN_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.2,TN_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",31.7,TN_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.4,TN_FactSheet
 Men who consume alcohol (%),"
112.*
113",46.7,TN_FactSheet
