INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",33.1,TR_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",16.2,TR_FactSheet
 Total fertility rate (children per woman),"
17.*
18",1.7,TR_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",18.8,TR_FactSheet
 Infant mortality rate (IMR),"
19.*
20",27.0,TR_FactSheet
 Under five mortality rate (U5MR),"
20.*
",33.0,TR_FactSheet
 Any modern method (%),"
22.*
23",42.8,TR_FactSheet
 Female sterilization (%),"
23.*
24",13.9,TR_FactSheet
 Male sterilization (%),"
24.*
25",0.0,TR_FactSheet
 Total unmet need (%),"
28.*
29",10.7,TR_FactSheet
 Unmet need for spacing (%),"
29.*
",4.1,TR_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",64.3,TR_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4784.0,TR_FactSheet
 Institutional births (%),"43.*
44",79.9,TR_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",20.5,TR_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",54.5,TR_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",97.4,TR_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",70.7,TR_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",24.3,TR_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",16.8,TR_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",24.1,TR_FactSheet
 Women who are overweight or obese (%),"
77.*
78",16.0,TR_FactSheet
 Men who are overweight or obese (%),"
78.*
",15.9,TR_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",54.4,TR_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",91.7,TR_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",26.3,TR_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",57.3,TR_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",59.2,TR_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",43.9,TR_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",43.5,TR_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",27.9,TR_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,TR_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",42.2,TR_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",67.8,TR_FactSheet
 Women who consume alcohol (%),"
111.*
112",4.8,TR_FactSheet
 Men who consume alcohol (%),"
112.*
113",57.6,TR_FactSheet
