INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",13.8,UT_FactSheet
 Men age 25-29 years married before age 21 years (%),"
16.*
17",17.1,UT_FactSheet
 Total fertility rate (children per woman),"
17.*
18",2.1,UT_FactSheet
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.8,UT_FactSheet
 Infant mortality rate (IMR),"
19.*
20",40.0,UT_FactSheet
 Under five mortality rate (U5MR),"
20.*
",47.0,UT_FactSheet
 Any modern method (%),"
22.*
23",49.3,UT_FactSheet
 Female sterilization (%),"
23.*
24",27.4,UT_FactSheet
 Male sterilization (%),"
24.*
25",0.7,UT_FactSheet
 Total unmet need (%),"
28.*
29",15.5,UT_FactSheet
 Unmet need for spacing (%),"
29.*
",5.2,UT_FactSheet
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",30.9,UT_FactSheet
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",2618.0,UT_FactSheet
 Institutional births (%),"43.*
44",68.6,UT_FactSheet
 Births delivered by caesarean section (%),"
47.*
48",13.1,UT_FactSheet
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",57.6,UT_FactSheet
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",91.0,UT_FactSheet
 Children under age 6 months exclusively breastfed (%),"
66.*
67",51.2,UT_FactSheet
 Children under 5 years who are stunted (heightforage),"
71.*
72",33.5,UT_FactSheet
 Children under 5 years who are wasted (weightforheight),"
72.*
73",19.5,UT_FactSheet
 Children under 3 years who are underweight (%),"
74.*
",26.6,UT_FactSheet
 Women who are overweight or obese (%),"
77.*
78",20.4,UT_FactSheet
 Men who are overweight or obese (%),"
78.*
",17.7,UT_FactSheet
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",46.5,UT_FactSheet
 Currently married women who usually participate in three household decisions (%),"
101.*
102",89.8,UT_FactSheet
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",15.5,UT_FactSheet
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",29.2,UT_FactSheet
 Women having a bank or savings account that they themselves use (%),"
106.*
107",58.5,UT_FactSheet
 Women having a mobile phone that they themselves use (%),"
107.*
108",55.4,UT_FactSheet
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",69.9,UT_FactSheet
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",12.7,UT_FactSheet
 Young women age 18-29 years who experienced sexual violence by age 18,,,UT_FactSheet
 Women who use any kind of tobacco (%),"
109.*
110",2.9,UT_FactSheet
 Men who use any kind of tobacco (%),"
110.*
111",43.7,UT_FactSheet
 Women who consume alcohol (%),"
111.*
112",0.3,UT_FactSheet
 Men who consume alcohol (%),"
112.*
113",35.2,UT_FactSheet
