INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",40.8,Bihar
 Men age 25-29 years married before age 21 years (%),"
21.*
22",30.5,Bihar
 Total fertility rate (children per woman),"
22.*
23",3.0,Bihar
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",11.0,Bihar
 Infant mortality rate (IMR),"
26.*
27",46.8,Bihar
 Under five mortality rate (U5MR),"
27.*
",56.4,Bihar
 Any modern method (%),"
29.*
30",44.4,Bihar
 Female sterilization (%),"
30.*
31",34.8,Bihar
 Male sterilization (%),"
31.*
32",0.1,Bihar
 Total unmet need (%),"
36.*
37",13.6,Bihar
 Unmet need for spacing (%),"
37.*
",6.1,Bihar
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",25.2,Bihar
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2848.0,Bihar
 Institutional births (%),"
50.*
51",76.2,Bihar
 Births delivered by caesarean section (%),"
51.*
52",56.9,Bihar
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",71.0,Bihar
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.6,Bihar
 Children under age 6 months exclusively breastfed (%),"
76.*
77",58.9,Bihar
 Children under 5 years who are stunted (heightforage),"
81.*
82",42.9,Bihar
 Children under 5 years who are wasted (weightforheight),"
82.*
83",22.9,Bihar
 Children under 3 years who are underweight (%),"
84.*
85",41.0,Bihar
 Women who are overweight or obese (%),"
88.*
89",15.9,Bihar
 Men who are overweight or obese (%),"
89.*
90",14.7,Bihar
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",63.1,Bihar
 Currently married women who usually participate in three household decisions (%),"
119.*
120",86.5,Bihar
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",12.6,Bihar
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",55.3,Bihar
 Women having a bank or savings account that they themselves use (%),"
122.*
123",76.7,Bihar
 Women having a mobile phone that they themselves use (%),"
123.*
124",51.4,Bihar
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",58.8,Bihar
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",40.0,Bihar
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",8.3,Bihar
 Women who use any kind of tobacco (%),"
128.*
129",5.0,Bihar
 Men who use any kind of tobacco (%),"
129.*
130",48.8,Bihar
 Women who consume alcohol (%),"
130.*
131",0.4,Bihar
 Men who consume alcohol (%),"
131.*
24",15.5,Bihar
