INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",12.1,Chhattisgarh
 Men age 25-29 years married before age 21 years (%),"
21.*
22",16.2,Chhattisgarh
 Total fertility rate (children per woman),"
22.*
23",1.8,Chhattisgarh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.1,Chhattisgarh
 Infant mortality rate (IMR),"
26.*
27",44.3,Chhattisgarh
 Under five mortality rate (U5MR),"
27.*
",50.4,Chhattisgarh
 Any modern method (%),"
29.*
30",61.7,Chhattisgarh
 Female sterilization (%),"
30.*
31",47.5,Chhattisgarh
 Male sterilization (%),"
31.*
32",0.8,Chhattisgarh
 Total unmet need (%),"
36.*
37",8.3,Chhattisgarh
 Unmet need for spacing (%),"
37.*
",3.4,Chhattisgarh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",60.1,Chhattisgarh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",1833.0,Chhattisgarh
 Institutional births (%),"
50.*
51",85.7,Chhattisgarh
 Births delivered by caesarean section (%),"
51.*
52",70.0,Chhattisgarh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",79.7,Chhattisgarh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.6,Chhattisgarh
 Children under age 6 months exclusively breastfed (%),"
76.*
77",80.3,Chhattisgarh
 Children under 5 years who are stunted (heightforage),"
81.*
82",34.6,Chhattisgarh
 Children under 5 years who are wasted (weightforheight),"
82.*
83",18.9,Chhattisgarh
 Children under 3 years who are underweight (%),"
84.*
85",31.3,Chhattisgarh
 Women who are overweight or obese (%),"
88.*
89",14.1,Chhattisgarh
 Men who are overweight or obese (%),"
89.*
90",14.9,Chhattisgarh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",51.8,Chhattisgarh
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.7,Chhattisgarh
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",39.1,Chhattisgarh
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",45.6,Chhattisgarh
 Women having a bank or savings account that they themselves use (%),"
122.*
123",80.3,Chhattisgarh
 Women having a mobile phone that they themselves use (%),"
123.*
124",40.7,Chhattisgarh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",68.8,Chhattisgarh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",20.2,Chhattisgarh
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.8,Chhattisgarh
 Women who use any kind of tobacco (%),"
128.*
129",17.3,Chhattisgarh
 Men who use any kind of tobacco (%),"
129.*
130",43.1,Chhattisgarh
 Women who consume alcohol (%),"
130.*
131",5.0,Chhattisgarh
 Men who consume alcohol (%),"
131.*
24",34.8,Chhattisgarh
